"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,229,1,75,3,11.450000000000005,21.60768625427438,33,1,8,1,1.65,1.7554426642213128,0.1564945226917058,1.2519561815336464,0.1564945226917058,0.2582159624413146,0.27471716184997075,"vite,plugin,commands,config",""
"@types/process",17,42,1,5,2,2.4705882352941178,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644574,0.1564945226917058,0.6259780907668232,0.1564945226917058,0.22093344380005525,0.12444541871118267,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,80,1,26,4,5.333333333333333,6.309478885734052,31,1,5,1,2.066666666666667,1.4375905768565218,0.1564945226917058,0.782472613458529,0.1564945226917058,0.32342201356285866,0.22497505115125535,"routes,vite,plugin,commands",""
"@types/path",13,41,1,7,2,3.1538461538461533,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.1564945226917058,0.782472613458529,0.1564945226917058,0.26483688455519444,0.18499717197918242,"utils,react-router-node,fileStorage,vite",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115679,0.1564945226917058,0.4694835680751174,0.1564945226917058,0.2190923317683881,0.13196776881245192,"utils,react-router-node,fileStorage,vite",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.1564945226917058,0.4694835680751174,0.1564945226917058,0.22604764388801948,0.11369063493846307,"utils,vite,plugin,commands",""
"promises",8,31,2,7,3.5,3.8750000000000004,2.100170061141308,16,1,4,1.5,2,1.3093073414159542,0.1564945226917058,0.6259780907668232,0.2347417840375587,0.3129890453834116,0.20489942745163606,"utils,react-router-node,fileStorage,vite",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.1564945226917058,0.3129890453834116,0.1564945226917058,0.20120724346076457,0.07636150805544079,"vite,plugin,commands,run",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.1564945226917058,0.4694835680751174,0.1564945226917058,0.20865936358894105,0.1277772427116942,"vite,plugin,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333333,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.1564945226917058,0.3129890453834116,0.1564945226917058,0.1825769431403234,0.06388862135584711,"server,react-router-node,fileStorage,stream",""
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.1564945226917058,2.190923317683881,0.6259780907668232,0.9911319770474698,0.8944406989818594,"context,react-router,server,utils",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333333,0.983192080250175,0.1564945226917058,0.4694835680751174,0.2347417840375587,0.28690662493479396,0.15386417531301644,"utils,profiler,prerender,normalizeSlashes",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,49,2,17,8,9.8,6.496152707564686,7,1,3,1,1.4,0.8944271909999159,0.1564945226917058,0.4694835680751174,0.1564945226917058,0.2190923317683881,0.139972956338015,"useJavascript,remove-exports,route-chunks,styles",""
"fs",5,17,2,5,3,3.4,1.51657508881031,8,1,2,2,1.6,0.5477225575051662,0.1564945226917058,0.3129890453834116,0.3129890453834116,0.25039123630672927,0.08571558020425135,"utils,vite,plugin,config",""
"http",5,11,1,3,2,2.2,0.8366600265340756,9,1,2,2,1.8,0.4472135954999579,0.1564945226917058,0.3129890453834116,0.3129890453834116,0.28169014084507044,0.06998647816900751,"server,react-router-node,vite,plugin",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.1564945226917058,0.4694835680751174,0.1564945226917058,0.2347417840375587,0.15649452269170577,"routes,vite,plugin,config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.1564945226917058,0.782472613458529,0.6259780907668232,0.5216484089723527,0.3257693269900051,"worker,react-router-cloudflare,workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,3,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin,useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"remove-exports,styles,with-props",""
"lexer",3,4,1,2,1,1.3333333333333333,0.5773502691896258,5,1,2,2,1.6666666666666667,0.5773502691896258,0.1564945226917058,0.3129890453834116,0.3129890453834116,0.2608242044861763,0.09035215480275834,"vite,plugin,virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.1564945226917058,0.6259780907668232,0.3129890453834116,0.3651538862806468,0.23904933202690876,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"copy-template,vite,plugin",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"react-router-architect,arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"react-router-architect,arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"remove-exports,with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,0.3129890453834116,0.3129890453834116,0.3129890453834116,0.3129890453834116,0,"server,react-router-node",""
"@types/api-gateway-proxy",2,17,3,14,8.5,8.5,7.7781745930520225,7,2,5,3.5,3.5,2.1213203435596424,0.3129890453834116,0.782472613458529,0.5477308294209703,0.5477308294209703,0.33197501464157164,"server,react-router-architect",""
"@types/express",2,18,3,15,9,9,8.48528137423857,6,2,4,3,3,1.4142135623730951,0.3129890453834116,0.6259780907668232,0.4694835680751174,0.4694835680751174,0.2213166764277144,"server,react-router-express",""
"@types/express-serve-static-core",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.3129890453834116,0.4694835680751174,0.39123630672926446,0.39123630672926446,0.11065833821385716,"server,react-router-express",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"server,react-router-architect",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.3129890453834116,0.4694835680751174,0.39123630672926446,0.39123630672926446,0.11065833821385716,"server,react-router-express",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,0.4694835680751174,0.4694835680751174,0.4694835680751174,0.4694835680751174,0,"react-router-node,stream",""
"async_hooks",2,2,1,1,1,1,0,8,4,4,4,4,0,0.6259780907668232,0.6259780907668232,0.6259780907668232,0.6259780907668232,0,"react-router,server",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"cloudflare,cloudflare-dev-proxy",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"config,flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"rollup",2,6,3,3,3,3,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"vite,plugin",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.1564945226917058,0.1564945226917058,0.1564945226917058,0.1564945226917058,0,"server",""
