"a.fileName","incomingDependencies","incomingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Incoming_Java_Artifact_Dependencies.cypher"
"/axon-messaging-5.1.1.jar",7,1304,""
"/axon-update-5.1.1.jar",0,0,""
"/axon-server-connector-5.1.1.jar",1,16,""
"/axon-conversion-5.1.1.jar",5,112,""
"/axon-common-5.1.1.jar",10,1728,""
"/axon-eventsourcing-5.1.1.jar",2,92,""
"/axon-tracing-opentelemetry-5.1.1.jar",0,0,""
"/axon-test-5.1.1.jar",0,0,""
"/axon-modelling-5.1.1.jar",2,64,""
"/axon-metrics-micrometer-5.1.1.jar",0,0,""
"/axoniq-spring-boot-autoconfigure-5.1.1.jar",0,0,""
