"dependencyArtifactName","dependencyTypeIsInterface","usedInArtifacts","usedInPackages","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: domains/java/queries/artifact-dependencies/Usage_and_spread_of_internal_artifact_dependencies.cypher"
"axon-common-5.1.1",true,7,64,40,100,66.32946001367054,21.40920350674398,66.66666666666667,2,37,9.142857142857142,12.495713550768405,4,11.39240506329114,30.303030303030305,19.73447595846951,6.027722909024434,18.9873417721519,""
"axon-common-5.1.1",false,7,86,63.63636363636364,100,87.3365231259968,13.847888884820797,87.71929824561403,4,50,12.285714285714286,16.690459207925603,7,18.9873417721519,71.42857142857143,33.31088053249909,18.04040625801803,32.03125,""
"axon-conversion-5.1.1",false,1,5,8.771929824561402,8.771929824561402,8.771929824561402,0,8.771929824561402,5,5,5,0,5,0.7898894154818326,0.7898894154818326,0.7898894154818326,0,0.7898894154818326,""
"axon-conversion-5.1.1",true,3,21,24.561403508771928,40,30.6113769271664,8.243027449975816,27.272727272727273,3,14,7,6.082762530298219,4,2.34375,5.687203791469194,4.364748310236567,1.777819556897452,5.063291139240507,""
"axon-eventsourcing-5.1.1",false,1,3,30,30,30,0,30,3,3,3,0,3,11.39240506329114,11.39240506329114,11.39240506329114,0,11.39240506329114,""
"axon-eventsourcing-5.1.1",true,1,3,30,30,30,0,30,3,3,3,0,3,11.39240506329114,11.39240506329114,11.39240506329114,0,11.39240506329114,""
"axon-messaging-5.1.1",true,4,24,40,100,75.45454545454545,25.302576660785583,80,4,9,6,2.449489742783178,4,30.37974683544304,43.43434343434344,38.494068453522566,5.892360293357162,37.9746835443038,""
"axon-messaging-5.1.1",false,4,26,40,100,75.22727272727273,26.632640136891368,70,2,10,6.5,3.3166247903554,7,11.39240506329114,28.90625,21.770738436581002,7.836604778802304,20.202020202020204,""
"axon-modelling-5.1.1",true,1,5,45.45454545454546,45.45454545454546,45.45454545454546,0,45.45454545454546,5,5,5,0,5,13.28125,13.28125,13.28125,0,13.28125,""
"axon-modelling-5.1.1",false,1,2,18.181818181818183,18.181818181818183,18.181818181818183,0,18.181818181818183,2,2,2,0,2,3.125,3.125,3.125,0,3.125,""
"axon-server-connector-5.1.1",false,1,3,60,60,60,0,60,3,3,3,0,3,19.23076923076923,19.23076923076923,19.23076923076923,0,19.23076923076923,""
