"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_spread.cypher"
"io.micrometer",1,3,3,3,3,3,0,100,100,100,100,0,13,13,13,13,13,0,68.42105263157896,68.42105263157896,68.42105263157896,68.42105263157896,0,"axon-metrics-micrometer-5.1.2",""
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,0,"axon-tracing-opentelemetry-5.1.2",""
"jakarta.validation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.2",""
"javax.cache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,2,2,2,2,2,0,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.1428571428571428,0,"axon-common-5.1.2",""
"org.apache",1,1,1,1,1,1,0,20,20,20,20,0,9,9,9,9,9,0,21.95121951219512,21.95121951219512,21.95121951219512,21.95121951219512,0,"axon-conversion-5.1.2",""
"org.awaitility",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.2",""
"org.axonframework",1,1,1,1,1,1,0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,1,1,1,1,1,0,5.2631578947368425,5.2631578947368425,5.2631578947368425,5.2631578947368425,0,"axon-metrics-micrometer-5.1.2",""
"org.ehcache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,3,3,3,3,3,0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0,"axon-common-5.1.2",""
"org.hamcrest",1,3,3,3,3,3,0,60,60,60,60,0,22,22,22,22,22,0,27.848101265822788,27.848101265822788,27.848101265822788,27.848101265822788,0,"axon-test-5.1.2",""
"org.junit",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267,0,"axon-test-5.1.2",""
"org.reactivestreams",1,3,3,3,3,3,0,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,0,6,6,6,6,6,0,0.9478672985781991,0.9478672985781991,0.9478672985781991,0.9478672985781991,0,"axon-messaging-5.1.2",""
"org.springframework",1,4,4,4,4,4,0,80,80,80,80,0,9,9,9,9,9,0,34.61538461538461,34.61538461538461,34.61538461538461,34.61538461538461,0,"axoniq-spring-boot-autoconfigure-5.1.2",""
"reactor.util",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.2",""
"tools.jackson",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,12.195121951219512,12.195121951219512,12.195121951219512,12.195121951219512,0,"axon-conversion-5.1.2",""
