"pom.artifactId","pom.name","scope","dependency.optional","dependentArtifact.group","dependentArtifact.name","Source Cypher File: domains/external-dependencies/queries/Maven_POMs_and_their_declared_dependencies.cypher"
"axon-common","Axon Framework - Common","test",false,"org.hibernate.validator","hibernate-validator",""
"axon-common","Axon Framework - Common","test",false,"org.springframework","spring-orm",""
"axon-common","Axon Framework - Common","default",true,"javax.cache","cache-api",""
"axon-common","Axon Framework - Common","test",false,"org.glassfish.expressly","expressly",""
"axon-common","Axon Framework - Common","test",false,"org.springframework","spring-context-support",""
"axon-common","Axon Framework - Common","default",true,"io.projectreactor","reactor-core",""
"axon-common","Axon Framework - Common","default",true,"jakarta.validation","jakarta.validation-api",""
"axon-common","Axon Framework - Common","default",true,"jakarta.annotation","jakarta.annotation-api",""
"axon-common","Axon Framework - Common","test",false,"io.projectreactor","reactor-test",""
"axon-common","Axon Framework - Common","default",false,"org.reactivestreams","reactive-streams",""
"axon-common","Axon Framework - Common","default",false,"com.fasterxml.jackson.core","jackson-core",""
"axon-common","Axon Framework - Common","test",false,"org.springframework","spring-test",""
"axon-common","Axon Framework - Common","test",false,"org.springframework","spring-tx",""
"axon-common","Axon Framework - Common","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-common","Axon Framework - Common","default",false,"org.slf4j","slf4j-api",""
"axon-common","Axon Framework - Common","provided",false,"com.google.code.findbugs","jsr305",""
"axon-common","Axon Framework - Common","test",false,"org.springframework.security","spring-security-config",""
"axon-common","Axon Framework - Common","default",true,"org.ehcache","ehcache",""
"axon-common","Axon Framework - Common","default",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-common","Axon Framework - Common","default",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-common","Axon Framework - Common","default",true,"org.hibernate.orm","hibernate-core",""
"axon-conversion","Axon Framework - Conversion","default",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-conversion","Axon Framework - Conversion","default",true,"org.apache.avro","avro",""
"axon-conversion","Axon Framework - Conversion","default",false,"org.axonframework","axon-common",""
"axon-conversion","Axon Framework - Conversion","test",false,"tools.jackson.dataformat","jackson-dataformat-cbor",""
"axon-conversion","Axon Framework - Conversion","default",false,"com.fasterxml.jackson.core","jackson-core",""
"axon-conversion","Axon Framework - Conversion","default",false,"tools.jackson.core","jackson-databind",""
"axon-conversion","Axon Framework - Conversion","test",false,"org.axonframework","axon-common",""
"axon-conversion","Axon Framework - Conversion","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-conversion","Axon Framework - Conversion","test",false,"com.fasterxml.jackson.module","jackson-module-parameter-names",""
"axon-conversion","Axon Framework - Conversion","default",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-conversion","Axon Framework - Conversion","default",true,"jakarta.annotation","jakarta.annotation-api",""
