"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionSilentCoordinators.cypher"
"io.axoniq.framework.springboot.actuator.axonserver","axonserver","axoniq-spring-boot-autoconfigure-5.1.2",3,5,2,3,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory","axon-eventsourcing-5.1.2",0,3,0,3,""
"org.axonframework.conversion.converter","converter","axon-conversion-5.1.2",0,7,0,7,""
"org.axonframework.common.digest","digest","axon-common-5.1.2",0,1,0,1,""
"org.axonframework.messaging.commandhandling.retry","retry","axon-messaging-5.1.2",0,168,0,168,""
"org.axonframework.messaging.core.reflection","reflection","axon-messaging-5.1.2",0,44,0,44,""
"org.axonframework.messaging.tracing.attributes","attributes","axon-messaging-5.1.2",0,28,0,28,""
"io.axoniq.framework.axonserver.connector.snapshot","snapshot","axon-server-connector-5.1.2",0,13,1,12,""
"org.axonframework.update.common","common","axon-update-5.1.2",0,2,1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation","axon-messaging-5.1.2",0,31,1,30,""
"org.axonframework.messaging.core.unitofwork.annotation","annotation","axon-messaging-5.1.2",0,18,1,17,""
"io.axoniq.framework.springboot.actuator","actuator","axoniq-spring-boot-autoconfigure-5.1.2",0,2,2,0,""
"org.axonframework.common.io","io","axon-common-5.1.2",0,2,2,0,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir","axon-metrics-micrometer-5.1.2",0,2,2,0,""
