"dependencyArtifactName","dependencyTypeIsInterface","usedInArtifacts","usedInPackages","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: domains/java/queries/artifact-dependencies/Usage_and_spread_of_internal_artifact_dependencies.cypher"
"axon-common-5.1.0",false,7,86,72.72727272727273,100,86.59440809816749,10.333841343344218,85.71428571428572,4,50,12.285714285714286,16.700441967348105,6,18.9873417721519,71.42857142857143,33.328152699818546,18.132188715158485,33.057851239669425,""
"axon-common-5.1.0",true,7,64,40,100,66.32946001367054,21.40920350674398,66.66666666666667,2,37,9.142857142857142,12.495713550768405,4,11.39240506329114,30.303030303030305,19.68174574815904,6.003377070092554,18.9873417721519,""
"axon-conversion-5.1.0",false,1,5,8.771929824561402,8.771929824561402,8.771929824561402,0,8.771929824561402,5,5,5,0,5,0.7886435331230284,0.7886435331230284,0.7886435331230284,0,0.7886435331230284,""
"axon-conversion-5.1.0",true,3,21,24.561403508771928,40,30.6113769271664,8.243027449975816,27.272727272727273,3,14,7,6.082762530298219,4,2.479338842975207,5.678233438485804,4.406954473567172,1.6974436727995181,5.063291139240507,""
"axon-eventsourcing-5.1.0",true,1,3,30,30,30,0,30,3,3,3,0,3,11.39240506329114,11.39240506329114,11.39240506329114,0,11.39240506329114,""
"axon-eventsourcing-5.1.0",false,1,3,30,30,30,0,30,3,3,3,0,3,11.39240506329114,11.39240506329114,11.39240506329114,0,11.39240506329114,""
"axon-messaging-5.1.0",true,4,24,40,100,75.45454545454547,25.302576660785586,80,4,9,6,2.449489742783178,4,30.37974683544304,43.43434343434344,38.69099510641513,6.067502826718603,37.9746835443038,""
"axon-messaging-5.1.0",false,4,26,40,100,75.22727272727273,26.632640136891368,70,2,10,6.5,3.3166247903554,7,11.39240506329114,28.09917355371901,21.568969325010755,7.598417511562199,20.202020202020204,""
"axon-modelling-5.1.0",true,1,4,36.36363636363637,36.36363636363637,36.36363636363637,0,36.36363636363637,4,4,4,0,4,10.743801652892563,10.743801652892563,10.743801652892563,0,10.743801652892563,""
"axon-modelling-5.1.0",false,1,2,18.181818181818183,18.181818181818183,18.181818181818183,0,18.181818181818183,2,2,2,0,2,3.3057851239669422,3.3057851239669422,3.3057851239669422,0,3.3057851239669422,""
"axon-server-connector-5.1.0",false,1,3,60,60,60,0,60,3,3,3,0,3,19.23076923076923,19.23076923076923,19.23076923076923,0,19.23076923076923,""
