"a.fileName","outgoingDependencies","outgoingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Outgoing_Java_Artifact_Dependencies.cypher"
"/axon-eventsourcing-5.1.0.jar",4,662,""
"/axon-conversion-5.1.0.jar",1,34,""
"/axon-update-5.1.0.jar",1,54,""
"/axoniq-spring-boot-autoconfigure-5.1.0.jar",4,58,""
"/axon-modelling-5.1.0.jar",3,494,""
"/axon-metrics-micrometer-5.1.0.jar",2,82,""
"/axon-test-5.1.0.jar",3,290,""
"/axon-tracing-opentelemetry-5.1.0.jar",2,24,""
"/axon-messaging-5.1.0.jar",2,1070,""
"/axon-server-connector-5.1.0.jar",5,504,""
"/axon-common-5.1.0.jar",0,0,""
