"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-messaging-5.1.0",57,50,87.72,634,215,33.91,"axon-common-5.1.0",false,7,36,"org.axonframework.common,org.axonframework.common.annotation","DateTimeUtils,CollectionUtils,FutureUtils,ClassUtils","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JdbcTokenEntry,JpaTokenStore,JdbcTokenStore,TokenEntry",""
"axon-messaging-5.1.0",57,37,64.91,634,108,17.03,"axon-common-5.1.0",true,8,24,"org.axonframework.common,org.axonframework.common.jdbc","Registration,JdbcUtils$SqlResultConverter,Property,TransactionalExecutor","org.axonframework.messaging.core,org.axonframework.messaging.eventhandling","SubscribableEventSource,EventSubscribers,InterceptingEventBus,DelegatingEventBus",""
"axon-messaging-5.1.0",57,14,24.56,634,36,5.68,"axon-conversion-5.1.0",true,1,2,"org.axonframework.conversion","Converter,GeneralConverter","org.axonframework.messaging.core.conversion,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","MessageConverter,JdbcTokenEntry,ResultMessage,GenericQueryMessage",""
"axon-eventsourcing-5.1.0",11,10,90.91,121,34,28.1,"axon-messaging-5.1.0",false,8,20,"org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.annotation","TerminalEventMessage,SimpleEventBus,GenericEventMessage,InterceptingEventBus","org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream,AggregateBasedJpaEventStorageEngine,EventSourcingConfigurationDefaults,StoreBackedSnapshotter",""
"axon-eventsourcing-5.1.0",11,9,81.82,121,52,42.98,"axon-messaging-5.1.0",true,13,30,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.configuration","CommandHandlingComponent,CommandBus,CommandHandlingModule,EventBus","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.eventstore","SimpleEventSourcedEntityModule,EventSourcingConfigurer,StorageEngineBackedEventStore,EventStore",""
"axon-eventsourcing-5.1.0",11,8,72.73,121,40,33.06,"axon-common-5.1.0",false,4,16,"org.axonframework.common,org.axonframework.common.io","DateTimeUtils,CollectionUtils,FutureUtils,AxonConfigurationException","org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore","AggregateBasedJpaEventStorageEngine,AggregateEventEntry,GapAwareTrackingTokenOperations,AggregateBasedConsistencyMarker",""
"axon-server-connector-5.1.0",10,8,80,79,27,34.18,"axon-common-5.1.0",false,5,16,"org.axonframework.common,org.axonframework.common.annotation","FutureUtils,AxonConfigurationException,BuilderUtils,ExceptionUtils","io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.configuration","AxonServerQueryBusConnector$AxonServerUpdateCallback,AxonServerQueryBusConnector,AxonServerConfigurationEnhancer,EventProcessorControlService",""
"axon-eventsourcing-5.1.0",11,8,72.73,121,27,22.31,"axon-common-5.1.0",true,6,17,"org.axonframework.common,org.axonframework.common.jdbc","Registration,PersistenceExceptionResolver,TransactionalExecutor,DescribableComponent","org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","StorageEngineBackedEventStore,InterceptingEventStore,AggregateBasedJpaEventStorageEngine,ContinuousMessageStream",""
"axon-modelling-5.1.0",7,7,100,99,43,43.43,"axon-messaging-5.1.0",true,11,23,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation","CommandHandlingComponent,CommandHandler,CommandMessage,CommandResultMessage","org.axonframework.modelling.entity,org.axonframework.modelling.configuration","EntityCommandHandlingComponent,SimpleStateBasedEntityModule,EntityMetamodelBuilder,PolymorphicEntityMetamodelBuilder",""
"axon-server-connector-5.1.0",10,7,70,79,21,26.58,"axon-messaging-5.1.0",false,9,30,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.eventhandling","CommandDispatchException,GenericCommandResultMessage,NoHandlerForCommandException,CommandExecutionException","io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.command","AxonServerCommandDispatchException,CommandConverter,ExceptionFactory,AggregateBasedAxonServerEventStorageEngine",""
