"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-test-5.0.2","org.axonframework.test.fixture","AxonTestThenCommand",68,15,"resultMessagePayload",3,"resultMessagePayload",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorModule",68,7,"registerEventProcessor",2,"registerEventHandlingComponents",""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","AccessSerializingRepository",68,17,"awaitTurn",3,"awaitTurn",""
"axon-common-5.0.2","org.axonframework.common.annotation","AnnotationUtils",68,12,"collectAttributes",8,"collectAttributes",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","DefaultEventStoreTransaction",67,9,"<init>",3,"lambda$attachAppendEventsStep$7",""
"axon-common-5.0.2","org.axonframework.common.infra","JacksonComponentDescriptor",67,12,"describeProperty",4,"describeObject",""
"axon-update-5.0.2","org.axonframework.update.api","UpdateCheckResponse",65,21,"fromRequest",17,"fromRequest",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","Metadata",64,7,"mergedWith",4,"from",""
"axon-conversion-5.0.2","org.axonframework.conversion","ChainingContentTypeConverter",64,16,"convert",7,"convert",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessor",63,11,"<init>",6,"process",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway","DefaultQueryGateway",62,8,"query",3,"asQueryMessage",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","FieldChildEntityFieldDefinition",62,13,"evolveParentBasedOnChildInput",8,"evolveParentBasedOnChildInput",""
"axon-common-5.0.2","org.axonframework.common.infra","FilesystemStyleComponentDescriptor$TreeRenderer",62,11,"renderMap",7,"renderProperty",""
"axon-update-5.0.2","org.axonframework.update","UpdateChecker",61,18,"run",6,"start",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","DefaultDispatchInterceptorRegistry",61,8,"resolveInterceptors",4,"resolveInterceptors",""
"axon-test-5.0.2","org.axonframework.test.matchers","DeepEqualsMatcher",60,21,"matchingFields",8,"matchingFields",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","AvroUtil",60,15,"fingerprint",8,"fingerprint",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","ConverterAutoConfiguration",59,29,"buildConverter",9,"buildConverter",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","PolymorphicEntityMetamodel",59,17,"<init>",6,"handleCreate",""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","Span",58,9,"runSupplierAsync",4,"runConsumer",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","AxonServerQueryBusConnector",58,10,"<init>",3,"disconnect",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","SpecificRecordBaseConverterStrategy",57,19,"convertFromSingleObjectEncoded",9,"convertFromSingleObjectEncoded",""
"axon-update-5.0.2","org.axonframework.update","LoggingUpdateCheckerReporter",55,14,"report",6,"report",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","SimpleQueryUpdateEmitter",55,6,"<init>",3,"lambda$queryNameFilter$2",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","DelayedMessageStream",55,11,"create",6,"error",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","DefaultHandlerInterceptorRegistry",55,8,"resolveInterceptors",4,"resolveInterceptors",""
"axon-modelling-5.0.2","org.axonframework.modelling","SimpleStateManager",55,9,"register",4,"lambda$loadManagedEntity$4",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","ContinuousMessageStream",55,10,"peek",6,"peek",""
"axon-common-5.0.2","org.axonframework.common.configuration","DefaultComponentRegistry$LocalConfiguration",55,11,"getComponents",5,"fromFactory",""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpanFactory",55,9,"createHandlerSpan",2,"addLinks",""
"axon-test-5.0.2","org.axonframework.test.fixture","AxonTestWhen",54,8,"<init>",2,"lambda$command$0",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","InMemoryTokenStore",54,8,"lambda$initializeTokenSegments$0",4,"initializeSegment",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","ResourceOverridingProcessingContext",53,5,"<init>",3,"containsResource",""
"axon-test-5.0.2","org.axonframework.test.fixture","AxonTestGiven",52,8,"<init>",2,"lambda$events$0",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","MergeTask",52,10,"mergeSegments",2,"mergeSegments",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","AnnotationBasedEventCriteriaResolver",52,21,"<init>",2,"lambda$new$3",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator",52,9,"<init>",7,"constructEntityWithArguments",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","AnnotatedEventSourcedEntityModule",52,11,"buildMetaModel",2,"lambda$getConcreteEntityTypes$6",""
"axon-test-5.0.2","org.axonframework.test.fixture","CommandValidator",51,26,"assertDispatchedEqualTo",9,"assertDispatchedEqualTo",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","AnnotatedEventHandlingComponent",51,10,"<init>",1,"lambda$constructEventHandlerFor$4",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$Builder",51,10,"<init>",1,"<init>",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","Segment",51,10,"splitBalanced",6,"equals",""
"axon-conversion-5.0.2","org.axonframework.conversion.json","JacksonConverter",51,29,"convert",17,"convert",""
"axon-update-5.0.2","org.axonframework.update.configuration","PropertyFileUsagePropertyProvider",50,17,"load",7,"load",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","FlowControlledResponseSender",50,16,"sendResponses",6,"sendResponses",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","AnnotationRoutingStrategy",48,11,"createLegacyResolver",6,"getRoutingKey",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","PriorityExecutorService",48,6,"lambda$submit$0",2,"lambda$submit$0",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","AxonServerEventStorageEngine",48,8,"appendEvents",2,"firstToken",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","SimpleEventHandlingComponent",47,11,"handle",4,"handle",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","SplitTask",47,9,"<init>",2,"task",""
"axon-update-5.0.2","org.axonframework.update.detection","TestEnvironmentDetector",46,41,"isTestClass",41,"isTestClass",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot","EventProcessorProperties$ProcessorSettings",46,9,"<init>",2,"threadCount",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","AnnotatedQueryHandlingComponent",46,10,"lambda$constructQueryHandlerFor$2",3,"lambda$constructQueryHandlerFor$2",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","TopologyChange",45,13,"<init>",9,"equals",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","InterceptorAutoConfiguration",44,17,"registerHandlerInterceptors",9,"registerHandlerInterceptors",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","AxonServerAutoConfiguration",44,7,"lambda$axonServerConfigurationEnhancer$2",3,"clientName",""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.configuration","DefaultMessageMonitorRegistry",44,7,"resolveMonitor",5,"resolveMonitor",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","SimpleCommandHandlingComponent",44,18,"handle",4,"subscribe",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","EventProcessorConfiguration",44,12,"<init>",1,"errorHandler",""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation","AnnotationBasedEntityEvolvingComponent",44,21,"evolve",5,"evolve",""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","SimpleRepository",44,9,"persist",2,"persist",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","StorageEngineBackedEventStore",44,13,"publish",3,"publish",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","EventProcessorControlService$AxonProcessorInstructionHandler",44,8,"splitSegment",4,"splitSegment",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenEntry",43,8,"<init>",4,"mayClaim",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorsConfigurer",43,5,"<init>",1,"lambda$build$3",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","MessageStream",43,3,"fromIterable",2,"just",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod",43,30,"<init>",11,"<init>",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine$MapBackedMessageStream",43,14,"next",5,"next",""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpan",43,12,"end",4,"end",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","AnnotatedCommandHandlingComponent",42,10,"<init>",2,"asCommandResultMessage",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway","CommandResult",42,7,"lambda$resultAs$0",6,"rethrowUnwrappedExecutionException",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","FluxMessageStream",42,10,"<init>",4,"next",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","EventProcessorInfoUtils",42,17,"describeStreaming",2,"getPosition",""
"axon-common-5.0.2","org.axonframework.common.lock","PessimisticLockFactory$DisposableLock",42,17,"lock",10,"lock",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed","DistributedQueryBus",41,9,"<init>",2,"lambda$completeSubscriptionsExceptionally$3",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","QueueMessageStream",41,7,"<init>",3,"setCallback",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","HandlerComparator",41,12,"depthOf",5,"depthOf",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry","AsyncRetryScheduler$RetryTask",41,10,"lambda$run$1",3,"lambda$run$1",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","SimpleCommandBus",40,8,"lambda$handle$3",4,"subscribe",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","SimpleQueryHandlingComponent",40,14,"handle",4,"subscribe",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","AxonServerConfiguration$Builder",40,6,"<init>",1,"eventFlowControl",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","TokenEntry",39,9,"<init>",4,"mayClaim",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorsConfigurer",39,5,"<init>",1,"processor",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception","InterceptingQueryBus",39,13,"<init>",3,"emitUpdate",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","AxonServerConnectionManager",39,10,"<init>",3,"isConnected",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","GlobalSequenceTrackingToken",38,6,"samePositionAs",5,"samePositionAs",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","PolymorphicEntityMetamodel$Builder",38,13,"addConcreteType",6,"addConcreteType",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateEventEntry",38,13,"<init>",2,"<init>",""
"axon-common-5.0.2","org.axonframework.common.jdbc","ConnectionWrapperFactory",38,16,"lambda$wrap$0",12,"lambda$wrap$0",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","AggregateBasedEventStorageEngineUtils",37,10,"translateConflictException",4,"resolveAggregateIdentifier",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","AggregateBasedConsistencyMarker",37,7,"forwarded",8,"from",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","ProcessingInstructionUtils",37,4,"getProcessingInstructionBoolean",1,"lambda$getProcessingInstructionNumber$5",""
"axon-common-5.0.2","org.axonframework.common.lock","PessimisticLockFactory",37,9,"obtainLock",3,"obtainLock",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","SimpleEventBus",36,10,"processEventsInPhase",3,"registerEventPublishingHooks",""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","MultiSpanFactory",36,5,"propagateContext",2,"propagateContext",""
"axon-common-5.0.2","org.axonframework.common.configuration","AbstractComponent",36,6,"initLifecycle",2,"initLifecycle",""
"axon-test-5.0.2","org.axonframework.test.matchers","ListMatcher",35,18,"describeTo",7,"describeTo",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util","AbstractQualifiedBeanCondition",35,23,"getMatchOutcome",4,"getMatchOutcome",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","GenericCommandMessage",35,8,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","GenericEventMessage",35,8,"withConvertedPayload",4,"andMetadata",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","GenericMessage",35,6,"<init>",6,"payloadAs",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation","MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember",35,9,"<init>",4,"handleSync",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","EventSourcingConfigurer",35,4,"<init>",1,"lambda$registerQueryHandlingModule$2",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","AbstractQueryResponseMessageStream",35,9,"errorIfPresent",5,"errorIfPresent",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","SourcingEventMessageStream",35,8,"peek",3,"peek",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","TaggedEventConverter",35,8,"convertEventMessage",3,"convertPayload",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage$Builder",34,5,"<init>",1,"initialToken",""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","CapacityMonitor",34,9,"<init>",1,"createIfAbsent",""
"axon-common-5.0.2","org.axonframework.common.configuration","DefaultAxonApplication",34,8,"<init>",3,"registerLifecycleHandler",""
"axon-test-5.0.2","org.axonframework.test.util","RecordingCommandBus",33,6,"asCommandResultMessage",3,"isSubscribed",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed","DistributedCommandBus$DistributedHandler",33,9,"handle",2,"doHandleCommand",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing","ProcessorEventHandlingComponents",33,7,"handle",3,"handle",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","ClaimTask",33,20,"task",5,"task",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","CompletionCallbackMessageStream",33,6,"<init>",4,"invokeCompletionHandlerIfCompleted",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout","UnitOfWorkTimeoutInterceptorBuilder",33,8,"<init>",2,"lambda$build$0",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","AbstractEntityChildMetamodel",33,9,"evolve",4,"canHandle",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","JpaPollingEventCoordinator",33,15,"lambda$startCoordination$0",7,"lambda$startCoordination$0",""
"axon-common-5.0.2","org.axonframework.common","CollectionUtils",33,13,"asCollection",7,"asCollection",""
"axon-common-5.0.2","org.axonframework.common.caching","EhCacheAdapter",33,6,"computeIfPresent",3,"computeIfPresent",""
"axon-common-5.0.2","org.axonframework.common.configuration","Components",33,8,"getComponentsAssignableTo",3,"getComponentsAssignableTo",""
"axon-update-5.0.2","org.axonframework.update.api","UpdateCheckRequest",32,8,"toQueryString",2,"toQueryString",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","MethodQueryHandlerDefinition$MethodQueryHandlingMember",32,9,"<init>",3,"<init>",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","UnitOfWork",32,7,"<init>",4,"safe",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","ConcreteEntityMetamodel$Builder",32,8,"instanceCommandHandler",3,"addChild",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","ConditionConverter",32,6,"convertEventCriterion",1,"convertEventCriterion",""
"axon-common-5.0.2","org.axonframework.common.configuration","DecoratedComponent",32,10,"lambda$doResolve$0",4,"lambda$doResolve$0",""
"axon-test-5.0.2","org.axonframework.test.fixture","AxonTestFixture",31,14,"<init>",5,"<init>",""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration","SimpleCommandHandlingModule",31,5,"<init>",1,"build",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorConfiguration",31,3,"<init>",1,"withInterceptor",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","EventProcessingConfigurer",31,6,"<init>",1,"componentRegistry",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing","DefaultQueryBusSpanFactory",31,5,"<init>",2,"createQueryProcessingSpan",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration","SimpleQueryHandlingModule",31,5,"<init>",1,"<init>",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","ConcatenatingMessageStream",31,6,"lambda$setCallback$0",6,"lambda$setCallback$0",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","MessageDecorator",31,13,"describeTo",1,"<init>",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateBasedJpaEventStorageEngineConfiguration",31,9,"<init>",1,"gapCleaningThreshold",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","GapAwareTrackingTokenOperations",31,20,"withGapsCleaned",8,"withGapsCleaned",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","AxonServerMessageStream",31,10,"toSimpleEntry",2,"peek",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule",30,6,"lambda$enhance$2",1,"equals",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","SingleValueMessageStream",30,5,"next",4,"next",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","MultiHandlerDefinition",30,8,"flatten",3,"createHandler",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","ClasspathHandlerDefinition",30,13,"findDelegates",5,"findDelegates",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","AnnotatedHandlerAttributes",30,9,"constructHandlerAttributesFor",6,"equals",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","ClasspathParameterResolverFactory",30,13,"findDelegates",5,"findDelegates",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","ClasspathHandlerEnhancerDefinition",30,13,"findDelegates",5,"findDelegates",""
