"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.core.annotation",1119.5690476190475,1,""
"axon-messaging-5.0.2","core","org.axonframework.messaging.core",979.5714285714284,2,""
"axon-messaging-5.0.2","unitofwork","org.axonframework.messaging.core.unitofwork",372.7666666666667,3,""
"axon-messaging-5.0.2","conversion","org.axonframework.messaging.core.conversion",332.40476190476187,4,""
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.eventhandling.annotation",331.8380952380952,5,""
"axon-server-connector-5.0.2","connector","org.axonframework.axonserver.connector",316.5,6,""
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.commandhandling.annotation",311.7583333333334,7,""
"axon-messaging-5.0.2","configuration","org.axonframework.messaging.eventhandling.configuration",180,8,""
"axon-server-connector-5.0.2","event","org.axonframework.axonserver.connector.event",168,9,""
"axon-messaging-5.0.2","transaction","org.axonframework.messaging.core.unitofwork.transaction",166.8,10,""
