"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_Breakdown.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","HandlerAttributes<-SimpleHandlerAttributes",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","ChainedMessageHandlerInterceptorMember->MessageStream",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","ChainedMessageHandlerInterceptorMember->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","MessageHandlingMember->MessageStream",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","MessageHandlingMember->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotationMessageTypeResolver->MessageType",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotationMessageTypeResolver->ClassBasedMessageTypeResolver",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotationMessageTypeResolver->MessageTypeResolver",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotationMessageTypeResolver->QualifiedName",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultParameterResolverFactory$MetadataParameterResolver->Metadata",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultParameterResolverFactory$MetadataParameterResolver->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","MessageIdentifierParameterResolverFactory$MessageIdentifierParameterResolver->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver->Metadata",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","PayloadParameterResolver->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","DefaultParameterResolverFactory$MessageParameterResolver->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotatedHandlerInspector->MessageStream",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","AnnotatedHandlerInspector->Message",0.96,49,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core","MethodInvokingMessageHandlingMember->MessageStream$Single",0.96,49,1,""
