"artifactName","packageName","dependentArtifactName","dependentPackageName","forwardToBackwardBalance","numberForward","numberBackward","someForwardDependencies","backwardDependencies","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core",0.96,49,1,"Message->Message,MethodInvokingMessageHandlingMember->MessageStream$Single,MethodInvokingMessageHandlingMember->MessageStream$Entry,MethodInvokingMessageHandlingMember->MessageStream,MethodInvokingMessageHandlingMember->MessageStream$Empty,MethodInvokingMessageHandlingMember->DelayedMessageStream,MethodInvokingMessageHandlingMember->Message,MessageHandler->Message,ChainedMessageHandlerInterceptorMember->MessageStream","SimpleHandlerAttributes->HandlerAttributes",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","axon-messaging-5.1.2","org.axonframework.messaging.core",0.9375,31,1,"InterceptingEventSink->MessageDispatchInterceptor,EventHandlingComponent->Message,EventHandlingComponent->MessageStream$Empty,EventHandlingComponent->QualifiedName,EventHandlingComponent->MessageStream,SimpleEventHandlingComponent->MessageType,SimpleEventHandlingComponent->MessageStream,SimpleEventHandlingComponent->MessageStream$Empty,SimpleEventHandlingComponent->QualifiedName","SubscribableEventSource->EventMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.9310344827586207,28,1,"AnnotatedEventHandlingComponent->HandlerDefinition,AnnotatedEventHandlingComponent->AnnotatedHandlerInspector,AnnotatedEventHandlingComponent->MessageHandlingMember,AnnotatedEventHandlingComponent->ParameterResolverFactory,EventHandlingMember->MessageHandlingMember,SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver->ParameterResolver,EventAppenderParameterResolverFactory->ParameterResolverFactory,EventAppenderParameterResolverFactory->ParameterResolver,EventHandler->MessageHandler","HandlerTypeResolver->EventHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.875,15,1,"CommandDispatcherParameterResolverFactory->ParameterResolverFactory,CommandDispatcherParameterResolverFactory->ParameterResolver,MethodCommandHandlerDefinition$MethodCommandHandlingMember->WrappedMessageHandlingMember,MethodCommandHandlerDefinition$MethodCommandHandlingMember->MessageHandlingMember,CommandHandler->MessageHandler,MethodCommandHandlerDefinition->HandlerEnhancerDefinition,MethodCommandHandlerDefinition->MessageHandlingMember,AnnotatedCommandHandlingComponent->ParameterResolverFactory,AnnotatedCommandHandlingComponent->MessageHandlingMember","HandlerTypeResolver->CommandHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.8571428571428571,13,1,"Query->Message,MethodQueryHandlerDefinition$MethodQueryHandlingMember->UnsupportedHandlerException,MethodQueryHandlerDefinition$MethodQueryHandlingMember->WrappedMessageHandlingMember,MethodQueryHandlerDefinition$MethodQueryHandlingMember->MessageHandlingMember,QueryHandler->MessageHandler,QueryResponse->Message,MethodQueryHandlerDefinition->MessageHandlingMember,MethodQueryHandlerDefinition->HandlerEnhancerDefinition,QueryHandlingMember->MessageHandlingMember","HandlerTypeResolver->QueryHandler",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","axon-modelling-5.1.2","org.axonframework.modelling",0.8461538461538461,12,1,"AnnotationBasedEntityEvolvingComponent->EntityEvolvingComponent,AnnotationBasedEntityEvolvingComponent->StateEvolvingException,EntityIdResolverDefinition->EntityIdResolver,InjectEntityParameterResolver->EntityIdResolver,InjectEntityParameterResolver->StateManager,InjectEntityParameterResolver->EntityIdResolutionException,AnnotationBasedEntityIdResolverDefinition->EntityIdResolver,AnnotationBasedEntityIdResolver->EntityIdResolver,AnnotationBasedEntityIdResolver->EntityIdResolutionException","PropertyBasedEntityIdResolver->TargetEntityIdMemberMismatchException",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",0.6666666666666666,5,1,"TransactionManager->ProcessingLifecycle$ErrorHandler,TransactionManager->ProcessingContext,TransactionManager->ProcessingLifecycle$Phase,TransactionManager->ProcessingLifecycle,TransactionalExecutorProvider->ProcessingContext","TransactionalUnitOfWorkFactory->TransactionManager",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",0.6666666666666666,15,3,"PooledStreamingEventProcessorModule->EventProcessorCustomization,PooledStreamingEventProcessorModule->EventHandlingComponentsConfigurer$RequiredComponentPhase,PooledStreamingEventProcessorModule->EventProcessorModule$EventHandlingPhase,PooledStreamingEventProcessorModule->EventHandlingComponentsConfigurer$CompletePhase,PooledStreamingEventProcessorModule->EventProcessorModule$CustomizationPhase,PooledStreamingEventProcessorModule->DefaultEventHandlingComponentsConfigurer,PooledStreamingEventProcessorModule->EventProcessorConfiguration,PooledStreamingEventProcessorModule->EventProcessorModule,PooledStreamingEventProcessorsConfigurer->EventProcessorModule","EventProcessingConfigurer->PooledStreamingEventProcessorsConfigurer,EventProcessorModule->PooledStreamingEventProcessorModule,EventProcessorModule->PooledStreamingEventProcessorConfiguration",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",0.6666666666666666,15,3,"SubscribingEventProcessorConfiguration->EventProcessorConfiguration,SubscribingEventProcessorsConfigurer->EventProcessorModule$EventHandlingPhase,SubscribingEventProcessorsConfigurer->EventHandlingComponentsConfigurer$RequiredComponentPhase,SubscribingEventProcessorsConfigurer->EventHandlingComponentsConfigurer$CompletePhase,SubscribingEventProcessorsConfigurer->EventProcessorModule,SubscribingEventProcessorsConfigurer->EventProcessorModule$CustomizationPhase,SubscribingEventProcessorsConfigurer->EventProcessingConfigurer,SubscribingEventProcessorModule->DefaultEventHandlingComponentsConfigurer,SubscribingEventProcessorModule->EventProcessorModule","EventProcessingConfigurer->SubscribingEventProcessorsConfigurer,EventProcessorModule->SubscribingEventProcessorConfiguration,EventProcessorModule->SubscribingEventProcessorModule",""
"axon-common-5.1.2","org.axonframework.common.configuration","axon-common-5.1.2","org.axonframework.common.infra",0.6,16,4,"Configuration->DescribableComponent,Component->DescribableComponent,DecoratedComponent->ComponentDescriptor,DefaultAxonApplication$AxonConfigurationImpl->ComponentDescriptor,ConfigurationExtensions->DescribableComponent,ConfigurationExtensions->ComponentDescriptor,AbstractComponent->ComponentDescriptor,InstantiatedComponentDefinition->ComponentDescriptor,Components->ComponentDescriptor","JacksonComponentDescriptor->Component$Identifier,JacksonComponentDescriptor->Component,FilesystemStyleComponentDescriptor->Component$Identifier,FilesystemStyleComponentDescriptor->Component",""
