"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","node",90,152,4,133,25,3325,"isCSSRequest,EnvironmentModuleNode.file,HotUpdatePluginContext.environment,ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.outDir,DevEnvironment.name,DevEnvironment.pluginContainer,EnvironmentPluginContainer.transform,EnvironmentModuleNode.id,ResolvedEnvironmentOptions.build,ViteDevServer.environments,EnvironmentModuleGraph.getModulesByFile,createLogger,normalizePath,ViteDevServer.hot,UserConfig.base,Logger.error,HotBroadcaster.send,DevEnvironment.moduleGraph,UserConfig.build,UserConfig.server,ResolvedConfig.base,Logger.info,UserConfig.logLevel,BuildEnvironmentOptions.rollupOptions,PluginOption,Environment.name,UserConfig.environments,Connect.Server.use,EnvironmentOptions,ViteBuilder.build,createServer,Logger.warn,PreviewServer,PreviewServer.middlewares,Connect.IncomingMessage.url,ResolvedConfig.server,ViteDevServer.ssrLoadModule,ResolvedConfig.logger,ViteDevServer.transformRequest,ResolvedConfig.root,ResolvedBuildOptions.assetsDir,Plugin,ViteDevServer.config,ResolvedConfig.configFile,ModuleNode.url,ManifestChunk.assets,ViteDevServer.pluginContainer,ResolvedConfig.build,ModuleNode.file,ManifestChunk.css,DevEnvironment.reloadModule,isRunnableDevEnvironment,ViteDevServer.middlewares,EnvironmentOptions.optimizeDeps,ResolvedConfig,Environment.config,ConfigEnv.mode,ResolvedConfig.mode,ManifestChunk.file,PluginContainer.buildStart,ViteDevServer,defaultClientConditions,ResolvedConfig.command,UserConfig.plugins,ConfigEnv.isSsrBuild,ResolvedServerOptions.middlewareMode,ConfigEnv.command,EnvironmentOptions.resolve,ViteDevServer.ssrFixStacktrace,RunnableDevEnvironment.runner,loadConfigFromFile,Plugin.name,ViteBuilder.environments,UserConfig.root,node",""
"vite","rollup",8,15,4,133,25,3325,"RollupOptions.onwarn,TransformPluginContext.environment,RollupLog.code,RollupLog.message,RollupLog.pos,PluginContext.environment,ResolvedId.id,PluginContext.resolve",""
"vite","promises",7,15,4,133,25,3325,"readFile,cp,rename,mkdir,rm,readdir",""
"vite","@types/babel__core",6,6,4,133,25,3325,"transformAsync,BabelFileResult.code,BabelFileResult.map",""
"vite","@types/path",6,25,4,133,25,3325,"path.PlatformPath.basename,path.PlatformPath.join,path.PlatformPath.relative,path.PlatformPath.posix,path.PlatformPath.resolve,path.PlatformPath.dirname",""
"vite","dist",6,10,4,133,25,3325,"resolve,relative,path.dirname,path.normalize,dist,join",""
"vite","@types/process",5,9,4,133,25,3325,"global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.Process.env",""
"vite","fs",3,6,4,133,25,3325,"Dirent.isFile,Dirent.name,Dirent.path",""
"vite","node:fs",3,8,4,133,25,3325,"readdirSync,rmSync,existsSync",""
"vite","@types/babel__generator",2,2,4,133,25,3325,"GeneratorResult,GeneratorResult.code",""
"vite","@types/globals",2,4,4,133,25,3325,"global.NodeRequire.resolve",""
"vite","crypto",2,2,4,133,25,3325,"Hash.update,Hash.digest",""
"vite","http",2,2,4,133,25,3325,"ServerResponse.end,ServerResponse.setHeader",""
"vite","lexer",2,2,4,133,25,3325,"init",""
"vite","picocolors",2,13,4,133,25,3325,"picocolors",""
"vite","@types/buffer",1,1,4,133,25,3325,"global.Buffer.toString",""
"vite","@types/jsesc",1,2,4,133,25,3325,"jsesc",""
"vite","@types/pick",1,1,4,133,25,3325,"pick",""
"vite","module-runner",1,1,4,133,25,3325,"ModuleRunner.import",""
"vite","node:crypto",1,1,4,133,25,3325,"createHash",""
"vite","node:url",1,1,4,133,25,3325,".pathToFileURL",""
"vite","url",1,1,4,133,25,3325,"URL.href",""
"remove-exports","@babel/lib",16,56,1,23,4,2300,"ExportSpecifier.local,Expression.type,ExportDeclaration.type,ClassDeclaration.id,ExportNamedDeclaration.declaration,ExportDefaultDeclaration.declaration,VariableDeclarator.id,VariableDeclaration.declarations,MemberExpression.object,AssignmentExpression.left,Identifier.name,ExpressionStatement.expression,FunctionDeclaration.id,ExportSpecifier.exported,LVal.type,ExportNamedDeclaration.specifiers",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.remove,NodePath.node,NodePath.parentPath",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"with-props","@types/babel__traverse",11,23,1,21,4,2100,"NodePath.get,NodePath.isFunctionDeclaration,NodePath.scope,NodePath.isIdentifier,NodePath.replaceWith,NodePath.isExpression,Scope.generateUidIdentifier,NodePath.node,NodePath.isVariableDeclaration,NodePath.isExportDefaultDeclaration,NodePath.isExportNamedDeclaration",""
"with-props","@babel/lib",8,11,1,21,4,2100,"Program.body,variableDeclarator,callExpression,identifier,importSpecifier,stringLiteral,importDeclaration,variableDeclaration",""
"with-props","@babel/babel-parser",2,3,1,21,4,2100,"ParseResult.program,ParseResult",""
"cloudflare","node",13,18,1,15,3,1500,"Plugin.name,Plugin,ConfigEnv.mode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ViteDevServer.middlewares,UserConfig.root,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use",""
"cloudflare","@types/process",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare","cli",1,2,1,15,3,1500,"GetPlatformProxyOptions",""
"cloudflare-dev-proxy","node",13,18,1,15,3,1500,"Plugin.name,Plugin,ConfigEnv.mode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.plugins,ResolvedServerOptions.middlewareMode,ResolvedConfig.server,ViteDevServer.middlewares,UserConfig.root,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use",""
"cloudflare-dev-proxy","@types/process",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","cli",1,2,1,15,3,1500,"GetPlatformProxyOptions",""
"warn-on-client-source-maps","node",11,12,1,12,2,1200,"ResolvedConfig.build,ResolvedConfig.environments,ResolvedConfig.logger,ResolvedBuildOptions.sourcemap,ResolvedBuildEnvironmentOptions.sourcemap,Logger.warn,ConfigEnv.command,ResolvedConfig.mode,Plugin,ResolvedEnvironmentOptions.build,ResolvedBuildOptions.ssr",""
"warn-on-client-source-maps","picocolors",1,2,1,12,2,1200,"picocolors",""
"run","@types/process",2,4,1,8,5,800,"global.NodeJS.ProcessVersions.node,global.NodeJS.Process.versions",""
"run","@types/semver",2,2,1,8,5,800,"major,semver",""
"run","arg",2,3,1,8,5,800,"arg.Result._,arg",""
"run","@types/globals",1,1,1,8,5,800,"global.NodeRequire.main",""
"run","arg.Result.""--no-typescript",1,1,1,8,5,800,"arg.Result.""--no-typescript""",""
"plugin","node",105,174,18,141,26,783.3333333333333,"ModuleNode,ViteDevServer,ResolvedConfig,UserConfig,UserConfig.base,Environment.name,UserConfig.environments,Connect.Server.use,ViteDevServer.hot,Logger.info,EnvironmentOptions,DevEnvironment.moduleGraph,ViteBuilder.build,createServer,Logger.warn,PreviewServer,UserConfig.server,PreviewServer.middlewares,Connect.IncomingMessage.url,ResolvedConfig.server,ViteDevServer.ssrLoadModule,ResolvedConfig.logger,ViteDevServer.transformRequest,ResolvedConfig.root,normalizePath,ResolvedBuildOptions.assetsDir,Plugin,ViteDevServer.environments,ViteDevServer.config,ResolvedConfig.configFile,ModuleNode.url,ManifestChunk.assets,ViteDevServer.pluginContainer,ResolvedConfig.build,ModuleNode.file,ManifestChunk.css,DevEnvironment.reloadModule,DevEnvironment.name,isRunnableDevEnvironment,HotUpdatePluginContext.environment,ViteDevServer.middlewares,EnvironmentOptions.optimizeDeps,HotBroadcaster.send,Environment.config,ConfigEnv.mode,ResolvedConfig.mode,ManifestChunk.file,PluginContainer.buildStart,defaultClientConditions,ResolvedConfig.command,UserConfig.plugins,ConfigEnv.isSsrBuild,ResolvedServerOptions.middlewareMode,ConfigEnv.command,EnvironmentOptions.resolve,UserConfig.build,ViteDevServer.ssrFixStacktrace,createLogger,RunnableDevEnvironment.runner,Logger.error,loadConfigFromFile,Plugin.name,ViteBuilder.environments,UserConfig.root,UserConfig.logLevel,defaultServerConditions,ResolvedBuildOptions.manifest,resolveConfig,ResolvedBuildOptions.emptyOutDir,isCSSRequest,EnvironmentModuleNode.file,ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.outDir,DevEnvironment.pluginContainer,EnvironmentPluginContainer.transform,EnvironmentModuleNode.id,ResolvedEnvironmentOptions.build,EnvironmentModuleGraph.getModulesByFile,ResolvedConfig.base,BuildEnvironmentOptions.rollupOptions,PluginOption",""
"plugin","@types/path",17,41,18,141,26,783.3333333333333,"path.PlatformPath.join,path.PlatformPath.dirname,path.PlatformPath.basename,path.PlatformPath.relative,path.PlatformPath.posix,path.PlatformPath.resolve,path.PlatformPath.isAbsolute",""
"plugin","promises",10,19,18,141,26,783.3333333333333,"readdir,rm,cp,rename,mkdir,readFile",""
"plugin","rollup",10,17,18,141,26,783.3333333333333,"PluginContext.environment,ResolvedId.id,PluginContext.resolve,RollupLog.message,RollupLog.code,RollupOptions.onwarn,TransformPluginContext.environment,RollupLog.pos",""
"plugin","@types/babel__core",6,6,18,141,26,783.3333333333333,"BabelFileResult.code,BabelFileResult.map,transformAsync",""
"plugin","dist",6,10,18,141,26,783.3333333333333,"resolve,relative,path.dirname,path.normalize,dist,join",""
"plugin","@types/process",5,9,18,141,26,783.3333333333333,"global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.Process.env",""
"plugin","node:fs",5,10,18,141,26,783.3333333333333,"existsSync,readdirSync,rmSync,readFileSync",""
"plugin","@types/globals",3,5,18,141,26,783.3333333333333,"global.NodeRequire.resolve",""
"plugin","fs",3,6,18,141,26,783.3333333333333,"Dirent.isFile,Dirent.name,Dirent.path",""
"plugin","picocolors",3,14,18,141,26,783.3333333333333,"picocolors",""
"plugin","@types/babel__generator",2,2,18,141,26,783.3333333333333,"GeneratorResult,GeneratorResult.code",""
"plugin","crypto",2,2,18,141,26,783.3333333333333,"Hash.update,Hash.digest",""
"plugin","http",2,2,18,141,26,783.3333333333333,"ServerResponse.end,ServerResponse.setHeader",""
"plugin","lexer",2,2,18,141,26,783.3333333333333,"init",""
"plugin","@types/buffer",1,1,18,141,26,783.3333333333333,"global.Buffer.toString",""
"plugin","@types/jsesc",1,2,18,141,26,783.3333333333333,"jsesc",""
"plugin","@types/kebabCase",1,1,18,141,26,783.3333333333333,"kebabCase",""
"plugin","@types/pick",1,1,18,141,26,783.3333333333333,"pick",""
"plugin","module-runner",1,1,18,141,26,783.3333333333333,"ModuleRunner.import",""
"plugin","node:crypto",1,1,18,141,26,783.3333333333333,"createHash",""
"plugin","node:url",1,1,18,141,26,783.3333333333333,".pathToFileURL",""
"plugin","url",1,1,18,141,26,783.3333333333333,"URL.href",""
"prompts-prompt-base","@types/process",4,52,2,14,6,700,"global.NodeJS.Process.stdout,global.NodeJS.Process.stdin,global.NodeJS.ReadStream,global.NodeJS.WriteStream",""
"prompts-prompt-base","node:readline",3,52,2,14,6,700,".createInterface,node:readline,.emitKeypressEvents",""
"prompts-prompt-base","sisteransi",3,39,2,14,6,700,"cursor,cursor.show,beep",""
"prompts-prompt-base","node:process",2,78,2,14,6,700,"node:process",""
"prompts-prompt-base","readline",2,26,2,14,6,700,"Interface.close,Key",""
"prompts-prompt-base","@types/events",1,1,2,14,6,700,"EventEmitter",""
"vite-node","node",8,9,2,13,4,650,"ViteDevServer,Logger,PluginContainer.buildStart,createServer,ResolvedConfig.base,ViteDevServer.config,ResolvedConfig.root,ViteDevServer.pluginContainer",""
