"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/topological-sort/Topological_Sort_Query.cypher"
"./vite/cloudflare-dev-proxy.ts","cloudflare-dev-proxy",0,0,5,1,15,""
"./lib/dom/ssr/links.ts","links",1,0,5,0,9,""
"./lib/types/route-module-annotations.ts","route-module-annotations",2,0,5,1,0,""
"./cli.ts","cli",3,0,5,0,27,""
"./tsup.config.rsc.ts","tsup",4,0,5,0,4,""
"./tsup.config.ts","tsup",5,0,5,0,5,""
"./cli/run.ts","run",6,0,5,0,9,""
"./index.ts","create-react-router",8,0,5,0,28,""
"./vite/rsc/plugin.ts","plugin",9,0,5,1,54,""
"./index.ts","react-router-fs-routes",10,0,5,0,5,""
"./worker.ts","worker",11,0,5,5,18,""
"./sessions/workersKVStorage.ts","workersKVStorage",12,0,5,1,5,""
"./defineRoutes.ts","defineRoutes",13,0,5,2,0,""
"./vite/rsc/virtual-route-config.ts","virtual-route-config",14,1,5,1,4,""
"./manifest.ts","manifest",15,1,5,4,0,""
"./normalizeSlashes.ts","normalizeSlashes",16,1,5,1,3,""
"./cli/commands.ts","commands",17,1,5,5,15,""
"./cli/useJavascript.ts","useJavascript",18,2,5,1,6,""
"./config/format.ts","format",19,2,5,1,0,""
"./vite/rsc/virtual-route-modules.ts","virtual-route-modules",20,1,5,4,6,""
"./copy-template.ts","copy-template",21,1,5,2,33,""
"./loading-indicator.ts","loading-indicator",22,1,5,1,12,""
"./prompt.ts","prompt",23,1,5,1,2,""
"./prompts-confirm.ts","prompts-confirm",24,2,5,1,5,""
"./prompts-multi-select.ts","prompts-multi-select",25,2,5,1,5,""
"./prompts-text.ts","prompts-text",26,2,5,1,8,""
"./prompts-select.ts","prompts-select",27,3,5,3,6,""
"./flatRoutes.ts","flatRoutes",28,1,5,1,15,""
"./prompts-prompt-base.ts","prompts-prompt-base",29,4,5,8,14,""
"./manifest.ts","manifest",30,2,5,3,0,""
"./utils.ts","utils",31,5,5,36,28,""
"./normalizeSlashes.ts","normalizeSlashes",32,2,5,2,3,""
"./vite/build.ts","build",33,2,5,1,8,""
"./vite/dev.ts","dev",34,2,5,1,11,""
"./vite/profiler.ts","profiler",35,3,5,5,9,""
"./vite/has-rsc-plugin.ts","has-rsc-plugin",36,3,5,2,3,""
"./cli.ts","cli",129,0,5,0,2,""
