"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,229,1,75,3,11.450000000000005,21.60768625427438,33,1,8,1,1.65,1.7554426642213128,0.15600624024961,1.24804992199688,0.15600624024961,0.25741029641185653,0.27386001001892557,"vite,plugin,commands,config",""
"@types/process",17,42,1,5,2,2.4705882352941178,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644574,0.15600624024961,0.62402496099844,0.15600624024961,0.22024410388180235,0.12405713347339428,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,80,1,26,4,5.333333333333333,6.309478885734052,31,1,5,1,2.066666666666667,1.4375905768565218,0.15600624024961,0.7800312012480499,0.15600624024961,0.3224128965158607,0.2242731009136539,"routes,vite,plugin,commands",""
"@types/path",13,41,1,7,2,3.1538461538461533,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15600624024961,0.7800312012480499,0.15600624024961,0.26401056042241694,0.18441995771403677,"utils,fileStorage,react-router-node,plugin",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115678,0.15600624024961,0.46801872074883,0.15600624024961,0.21840873634945399,0.13155601290352073,"utils,fileStorage,react-router-node,plugin",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15600624024961,0.46801872074883,0.15600624024961,0.22534234702721442,0.11333590596829624,"utils,vite,plugin,commands",""
"promises",8,31,2,7,3.5,3.8750000000000004,2.100170061141308,16,1,4,1.5,2,1.3093073414159542,0.15600624024961,0.62402496099844,0.234009360374415,0.31201248049922,0.2042601156655155,"utils,fileStorage,react-router-node,vite",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.15600624024961,0.31201248049922,0.15600624024961,0.20057945174949857,0.07612325062001041,"plugin,vite,commands,run",""
"@types/babel__generator",6,10,1,2,2,1.6666666666666667,0.5163977794943222,9,1,3,1,1.5,0.8366600265340756,0.15600624024961,0.46801872074883,0.15600624024961,0.234009360374415,0.13052418510672006,"plugin,vite,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333333,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15600624024961,0.31201248049922,0.15600624024961,0.18200728029121166,0.06368928088359797,"server,stream,react-router-node,fileStorage",""
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.15600624024961,2.1840873634945397,0.62402496099844,0.9880395215808634,0.8916499323703719,"react-router,context,server,utils",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333333,0.983192080250175,0.15600624024961,0.46801872074883,0.234009360374415,0.28601144045761834,0.15338409988302265,"utils,profiler,prerender,normalizeSlashes",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,49,2,17,8,9.8,6.496152707564686,7,1,3,1,1.4,0.8944271909999159,0.15600624024961,0.46801872074883,0.15600624024961,0.21840873634945399,0.1395362232449167,"useJavascript,remove-exports,route-chunks,styles",""
"fs",5,17,2,5,3,3.4,1.51657508881031,8,1,2,2,1.6,0.5477225575051662,0.15600624024961,0.31201248049922,0.31201248049922,0.24960998439937596,0.08544813689628177,"utils,vite,plugin,config",""
"http",5,11,1,3,2,2.2,0.8366600265340756,9,1,2,2,1.8,0.4472135954999579,0.15600624024961,0.31201248049922,0.31201248049922,0.28081123244929795,0.06976811162245834,"server,react-router-node,vite,plugin",""
