"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel/lib",16,56,1,23,4,2300,"ExportNamedDeclaration.specifiers,VariableDeclarator.id,FunctionDeclaration.id,LVal.type,ExpressionStatement.expression,ExportSpecifier.local,ExportSpecifier.exported,VariableDeclaration.declarations,ExportDefaultDeclaration.declaration,Identifier.name,ClassDeclaration.id,MemberExpression.object,ExportDeclaration.type,ExportNamedDeclaration.declaration,Expression.type,AssignmentExpression.left",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.node,NodePath.isProgram,NodePath.remove",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"vite","node",83,146,6,128,25,2133.3333333333335,"UserConfig.server,PluginOption,PreviewServer.middlewares,ResolvedConfig.base,UserConfig.base,ResolvedBuildEnvironmentOptions.outDir,UserConfig.logLevel,ResolvedEnvironmentOptions.build,normalizePath,transformWithEsbuild,Connect.IncomingMessage.url,Logger.info,createLogger,Connect.Server.use,ResolvedConfig.environments,Logger.error,ResolvedConfig.mode,ResolvedConfig.server,UserConfig.plugins,createServer,DevEnvironment.moduleGraph,PluginContainer.buildStart,EnvironmentOptions,RunnableDevEnvironment.runner,ViteBuilder.build,UserConfig.build,loadConfigFromFile,ResolvedBuildOptions.assetsDir,ResolvedConfig.root,ViteDevServer.ssrFixStacktrace,Environment.config,ConfigEnv.mode,EnvironmentOptions.resolve,Logger.warn,ManifestChunk.css,HotUpdatePluginContext.environment,Plugin,ResolvedConfig.build,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,Environment.name,ResolvedConfig.logger,ResolvedConfig.command,UserConfig.environments,DevEnvironment.reloadModule,UserConfig.root,ViteDevServer.environments,ManifestChunk.assets,ConfigEnv.isSsrBuild,ResolvedServerOptions.middlewareMode,PreviewServer,ModuleNode.file,HotBroadcaster.send,defaultClientConditions,ResolvedConfig.configFile,ModuleNode.url,Plugin.name,ViteDevServer.transformRequest,ResolvedConfig,ViteDevServer.config,ConfigEnv.command,ViteDevServer,EnvironmentOptions.optimizeDeps,isRunnableDevEnvironment,ManifestChunk.file,DevEnvironment.name,ViteDevServer.pluginContainer,ViteDevServer.hot,ViteBuilder.environments,version,ESBuildOptions,node",""
"vite","@types/process",7,15,6,128,25,2133.3333333333335,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT",""
"vite","dist",7,23,6,128,25,2133.3333333333335,"path.extname,join,dist,path.join,relative,resolve,path.normalize",""
"vite","promises",7,14,6,128,25,2133.3333333333335,"readFile,rename,readdir,rm,cp,mkdir",""
"vite","@types/path",6,25,6,128,25,2133.3333333333335,"path.PlatformPath.relative,path.PlatformPath.posix,path.PlatformPath.resolve,path.PlatformPath.basename,path.PlatformPath.dirname,path.PlatformPath.join",""
"vite","fs",5,10,6,128,25,2133.3333333333335,"existsSync,Dirent.isFile,Dirent.parentPath,Dirent.name,Dirent.path",""
"vite","http",5,8,6,128,25,2133.3333333333335,"ServerResponse.setHeader,ServerResponse.end,ServerResponse.statusCode",""
"vite","@types/babel__core",3,3,6,128,25,2133.3333333333335,"transformAsync,BabelFileResult.code,BabelFileResult.map",""
"vite","node:fs",3,8,6,128,25,2133.3333333333335,"existsSync,rmSync,readdirSync",""
"vite","rollup",3,5,6,128,25,2133.3333333333335,"PluginContext.environment,ResolvedId.id,PluginContext.resolve",""
"vite","@types/babel__generator",2,2,6,128,25,2133.3333333333335,"GeneratorResult.code,GeneratorResult",""
"vite","crypto",2,2,6,128,25,2133.3333333333335,"Hash.update,Hash.digest",""
"vite","lexer",2,2,6,128,25,2133.3333333333335,"init",""
"vite","picocolors",2,14,6,128,25,2133.3333333333335,"picocolors",""
"vite","@types/buffer",1,1,6,128,25,2133.3333333333335,"global.NonSharedBuffer.toString",""
"vite","@types/jsesc",1,2,6,128,25,2133.3333333333335,"jsesc",""
"vite","@types/module",1,2,6,128,25,2133.3333333333335,"global.NodeJS.Require.resolve",""
"vite","@types/pick",1,1,6,128,25,2133.3333333333335,"pick",""
"vite","module-runner",1,1,6,128,25,2133.3333333333335,"ModuleRunner.import",""
"vite","node:crypto",1,1,6,128,25,2133.3333333333335,"createHash",""
"vite","node:url",1,2,6,128,25,2133.3333333333335,".pathToFileURL",""
"vite","url",1,2,6,128,25,2133.3333333333335,"URL.href",""
"with-props","@types/babel__traverse",11,23,1,21,4,2100,"NodePath.isVariableDeclaration,NodePath.scope,NodePath.isFunctionDeclaration,NodePath.isExpression,Scope.generateUidIdentifier,NodePath.isExportDefaultDeclaration,NodePath.isIdentifier,NodePath.node,NodePath.get,NodePath.replaceWith,NodePath.isExportNamedDeclaration",""
"with-props","@babel/lib",8,11,1,21,4,2100,"Program.body,importSpecifier,importDeclaration,identifier,variableDeclarator,stringLiteral,variableDeclaration,callExpression",""
"with-props","@babel/babel-parser",2,3,1,21,4,2100,"ParseResult,ParseResult.program",""
"cloudflare","node",13,18,1,15,4,1500,"ViteDevServer.config,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,UserConfig.root,Plugin.name,Connect.Server.use,ViteDevServer.ssrLoadModule,EnvironmentResolveOptions.externalConditions,Plugin,ViteDevServer.middlewares,ResolvedConfig.server,EnvironmentOptions.resolve,ResolvedConfig.plugins",""
"cloudflare","@types/process",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare","cli",1,2,1,15,4,1500,"GetPlatformProxyOptions",""
"cloudflare-dev-proxy","node",13,18,1,15,4,1500,"ViteDevServer.config,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,UserConfig.root,Plugin.name,Connect.Server.use,ViteDevServer.ssrLoadModule,EnvironmentResolveOptions.externalConditions,Plugin,ViteDevServer.middlewares,ResolvedConfig.server,EnvironmentOptions.resolve,ResolvedConfig.plugins",""
"cloudflare-dev-proxy","@types/process",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","cli",1,2,1,15,4,1500,"GetPlatformProxyOptions",""
"warn-on-client-source-maps","node",11,12,1,12,2,1200,"ResolvedBuildOptions.sourcemap,ResolvedBuildEnvironmentOptions.sourcemap,ResolvedEnvironmentOptions.build,ResolvedConfig.logger,ResolvedConfig.build,Plugin,ConfigEnv.command,ResolvedConfig.mode,Logger.warn,ResolvedConfig.environments,ResolvedBuildOptions.ssr",""
"warn-on-client-source-maps","picocolors",1,2,1,12,2,1200,"picocolors",""
"run","@types/process",2,4,1,8,5,800,"global.NodeJS.Process.versions,global.NodeJS.ProcessVersions.node",""
"run","@types/semver",2,2,1,8,5,800,"semver,major",""
"run","arg",2,3,1,8,5,800,"arg,arg.Result._",""
"run","@types/module",1,1,1,8,5,800,"global.NodeJS.Require.main",""
"run","arg.Result.""--no-typescript",1,1,1,8,5,800,"arg.Result.""--no-typescript""",""
"plugin","node",95,163,18,134,26,744.4444444444445,"ResolvedBuildOptions.emptyOutDir,ResolvedConfig,ResolvedConfig.build,UserConfig,ResolvedBuildOptions.manifest,resolveConfig,Plugin,ResolvedConfig.mode,ResolvedConfig.server,UserConfig.logLevel,UserConfig.plugins,createServer,DevEnvironment.moduleGraph,PluginContainer.buildStart,EnvironmentOptions,RunnableDevEnvironment.runner,ViteBuilder.build,UserConfig.build,loadConfigFromFile,ResolvedBuildOptions.assetsDir,ResolvedConfig.root,Connect.Server.use,Connect.IncomingMessage.url,ViteDevServer.ssrFixStacktrace,Environment.config,ConfigEnv.mode,EnvironmentOptions.resolve,Logger.warn,ManifestChunk.css,HotUpdatePluginContext.environment,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,Environment.name,ResolvedConfig.logger,ResolvedConfig.command,Logger.error,UserConfig.environments,DevEnvironment.reloadModule,UserConfig.server,UserConfig.root,ViteDevServer.environments,normalizePath,ManifestChunk.assets,ConfigEnv.isSsrBuild,PreviewServer.middlewares,ResolvedServerOptions.middlewareMode,PreviewServer,ModuleNode.file,HotBroadcaster.send,defaultClientConditions,UserConfig.base,ResolvedConfig.configFile,ModuleNode.url,Plugin.name,ViteDevServer.transformRequest,ViteDevServer.config,ConfigEnv.command,ViteDevServer,createLogger,EnvironmentOptions.optimizeDeps,isRunnableDevEnvironment,Logger.info,ManifestChunk.file,DevEnvironment.name,ViteDevServer.pluginContainer,ViteDevServer.hot,ViteBuilder.environments,ModuleNode,defaultServerConditions,PluginOption,ResolvedConfig.base,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,transformWithEsbuild,ResolvedConfig.environments",""
"plugin","@types/path",17,41,18,134,26,744.4444444444445,"path.PlatformPath.isAbsolute,path.PlatformPath.relative,path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.posix,path.PlatformPath.basename,path.PlatformPath.dirname",""
"plugin","promises",10,18,18,134,26,744.4444444444445,"rm,rename,readdir,readFile,cp,mkdir",""
"plugin","@types/process",7,15,18,134,26,744.4444444444445,"global.NodeJS.Process.env,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST",""
"plugin","dist",7,23,18,134,26,744.4444444444445,"path.extname,join,dist,path.join,relative,resolve,path.normalize",""
"plugin","fs",5,10,18,134,26,744.4444444444445,"Dirent.isFile,Dirent.parentPath,Dirent.name,Dirent.path,existsSync",""
"plugin","http",5,8,18,134,26,744.4444444444445,"ServerResponse.end,ServerResponse.setHeader,ServerResponse.statusCode",""
"plugin","node:fs",5,10,18,134,26,744.4444444444445,"existsSync,rmSync,readdirSync,readFileSync",""
