artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.0.3,68.53526220614829,25.31645569620253,4.701627486437613,1.4466546112115732
axon-common-5.0.3,68.42105263157895,27.631578947368425,1.3157894736842104,2.631578947368421
axon-eventsourcing-5.0.3,66.30434782608695,26.08695652173913,7.608695652173914,0.0
axon-modelling-5.0.3,65.21739130434783,31.521739130434785,3.260869565217391,0.0
axon-test-5.0.3,72.6027397260274,26.027397260273972,1.36986301369863,0.0
axon-spring-boot-autoconfigure-5.0.3,91.78082191780823,1.36986301369863,4.10958904109589,2.73972602739726
axon-server-connector-5.0.3,82.35294117647058,14.705882352941178,0.0,2.941176470588235
axon-conversion-5.0.3,84.84848484848484,15.151515151515152,0.0,0.0
axon-update-5.0.3,77.77777777777779,16.666666666666664,0.0,5.555555555555555
axon-metrics-micrometer-5.0.3,100.0,0.0,0.0,0.0
axon-tracing-opentelemetry-5.0.3,100.0,0.0,0.0,0.0
