"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_occurrence.cypher"
"react",47,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/vite-plugin-cloudflare","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware",""
"react-dom",47,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/vite-plugin-cloudflare","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware",""
"react-router",27,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/vite-plugin-cloudflare","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware",""
"react-router-dom",23,0,"search-params,ssr,custom-query-parse-serialization,basic,error-boundaries,ssr-data-router,basic-data-router,auth,custom-link","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/search-params,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/ssr,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/custom-query-parsing,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/examples/basic",""
"isbot",21,0,"@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/vite-plugin-cloudflare,@playground/split-route-modules,@remix-run/react-router","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express",""
"@react-router/node",20,0,"@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/split-route-modules,@playground/framework-rolldown-vite,@playground/framework-spa","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express",""
"express",17,0,"integration-rsc-vite,@playground/framework,@playground/rsc-vite-framework,@playground/framework-express,@playground/vite-plugin-cloudflare,@playground/rsc-vite,ssr,ssr-data-router,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express",""
"@react-router/serve",12,0,"@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/framework,@playground/split-route-modules,@playground/framework-rolldown-vite,integration-vite-6-template,integration-vite-5-template,integration-vite-7-beta-template,integration-rsc-vite-framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/split-route-modules",""
"compression",10,0,"integration-rsc-vite,@playground/framework,@playground/rsc-vite-framework,@playground/framework-express,@playground/rsc-vite,ssr,ssr-data-router,multi-app,@react-router/serve","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/rsc-vite-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express",""
"@react-router/express",8,0,"@playground/framework,@playground/framework-express,integration,integration-vite-6-template,integration-vite-5-template,@react-router/serve,integration-vite-7-beta-template,integration-vite-rolldown-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/playground/framework-express,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.2/./source/react-router-7.13.2/integration/helpers/vite-6-template",""
