"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,231,1,76,3,11.55,21.91004335915381,33,1,8,1,1.65,1.7554426642213128,0.15432098765432098,1.2345679012345678,0.15432098765432098,0.25462962962962965,0.27090164571316555,"vite,plugin,commands,config",""
"@types/process",17,42,1,5,2,2.4705882352941178,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644572,0.15432098765432098,0.6172839506172839,0.15432098765432098,0.2178649237472767,0.12271701011797181,"dev,create-react-router,loading-indicator,prompts-prompt-base",""
"dist",15,80,1,26,4,5.333333333333334,6.309478885734052,31,1,5,1,2.0666666666666664,1.4375905768565218,0.15432098765432098,0.7716049382716049,0.15432098765432098,0.3189300411522633,0.22185039766304343,"react-router,cookies,sessions,routes",""
"@types/path",13,41,1,7,2,3.1538461538461537,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15432098765432098,0.7716049382716049,0.15432098765432098,0.26115859449192774,0.18242776681280484,"normalizeSlashes,flatRoutes,react-router-fs-routes,utils",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115678,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.21604938271604934,0.13013488313450117,"flatRoutes,react-router-fs-routes,utils,vite",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.22290809327846361,0.11211159834209551,"utils,vite,plugin,commands",""
"promises",8,31,2,7,3.5,3.875,2.1001700611413083,16,1,4,1.5,2,1.3093073414159542,0.15432098765432098,0.6172839506172839,0.23148148148148145,0.30864197530864196,0.2020536020703633,"utils,vite,plugin,commands",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.15432098765432098,0.30864197530864196,0.15432098765432098,0.19841269841269837,0.07530093155467077,"vite,plugin,commands,run",""
"@types/babel__generator",6,10,1,2,2,1.6666666666666667,0.5163977794943222,9,1,3,1,1.5,0.8366600265340756,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.23148148148148145,0.12911420162562892,"vite,plugin,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15432098765432098,0.30864197530864196,0.15432098765432098,0.18004115226337447,0.06300127939257145,"vite,plugin,server,react-router-node",""
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.15432098765432098,2.1604938271604937,0.6172839506172839,0.9773662551440327,0.8820179114960003,"react-router,context,server,utils",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333333,0.983192080250175,0.15432098765432098,0.4629629629629629,0.23148148148148145,0.28292181069958844,0.1517271728781134,"normalizeSlashes,flatRoutes,react-router-fs-routes,utils",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,49,2,17,8,9.8,6.496152707564686,7,1,3,1,1.4,0.8944271909999159,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.21604938271604937,0.138028887499987,"useJavascript,remove-exports,route-chunks,styles",""
"fs",5,17,2,5,3,3.4,1.51657508881031,8,1,2,2,1.6,0.5477225575051662,0.15432098765432098,0.30864197530864196,0.30864197530864196,0.24691358024691357,0.08452508603474786,"flatRoutes,utils,vite,plugin",""
"http",5,11,1,3,2,2.2,0.8366600265340756,9,1,2,2,1.8,0.4472135954999579,0.15432098765432098,0.30864197530864196,0.30864197530864196,0.2777777777777778,0.0690144437499935,"server,vite,plugin,node-adapter",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.23148148148148148,0.15432098765432098,"routes,vite,plugin,config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15432098765432098,0.7716049382716049,0.6172839506172839,0.51440329218107,0.3212447530040328,"worker,react-router-cloudflare,workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,3,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin,useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"remove-exports,styles,with-props",""
"lexer",3,4,1,2,1,1.3333333333333333,0.5773502691896258,5,1,2,2,1.6666666666666667,0.5773502691896258,0.15432098765432098,0.30864197530864196,0.30864197530864196,0.257201646090535,0.08909726376383113,"vite,plugin,virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.15432098765432098,0.6172839506172839,0.30864197530864196,0.36008230452674894,0.23572920241542386,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"copy-template,vite,plugin",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"react-router-architect,arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"react-router-architect,arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"remove-exports,with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,0.30864197530864196,0.30864197530864196,0.30864197530864196,0.30864197530864196,0,"react-router-node,server",""
"@types/api-gateway-proxy",2,18,3,15,9,9,8.48528137423857,7,2,5,3.5,3.5,2.1213203435596424,0.30864197530864196,0.7716049382716049,0.5401234567901234,0.5401234567901234,0.32736425054932755,"server,react-router-architect",""
"@types/express",2,19,3,16,9.5,9.5,9.192388155425117,6,2,4,3,3,1.4142135623730951,0.30864197530864196,0.6172839506172839,0.4629629629629629,0.4629629629629629,0.21824283369955172,"react-router-express,server",""
"@types/express-serve-static-core",2,3,1,2,1.5,1.5,0.7071067811865476,5,2,3,2.5,2.5,0.7071067811865476,0.30864197530864196,0.4629629629629629,0.3858024691358024,0.3858024691358024,0.10912141684977585,"react-router-express,server",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"server,react-router-architect",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,0.30864197530864196,0.4629629629629629,0.3858024691358024,0.3858024691358024,0.10912141684977585,"react-router-express,server",""
"@types/stream",2,8,4,4,4,4,0,6,3,3,3,3,0,0.4629629629629629,0.4629629629629629,0.4629629629629629,0.4629629629629629,0,"react-router-node,stream",""
"async_hooks",2,2,1,1,1,1,0,8,4,4,4,4,0,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.6172839506172839,0,"react-router,server",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"cloudflare-dev-proxy,cloudflare",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"flatRoutes,config",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"rollup",2,6,3,3,3,3,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"vite,plugin",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"prompts-select",""
