"filePath","commitCount","Source Cypher File: GitLog/List_git_files_that_were_changed_together_with_another_file.cypher"
"AxonFramework-4.11.2/integrationtests/pom.xml",576,""
"AxonFramework-4.11.2/spring/pom.xml",491,""
"AxonFramework-4.11.2/test/pom.xml",484,""
"AxonFramework-4.11.2/spring-boot-autoconfigure/pom.xml",477,""
"AxonFramework-4.11.2/spring-boot-starter/pom.xml",412,""
"AxonFramework-4.11.2/metrics/pom.xml",402,""
"AxonFramework-4.11.2/legacy/pom.xml",385,""
"AxonFramework-4.11.2/messaging/pom.xml",325,""
"AxonFramework-4.11.2/eventsourcing/pom.xml",303,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/query/AxonServerQueryBus.java",293,""
"AxonFramework-4.11.2/axon-server-connector/pom.xml",289,""
"AxonFramework-4.11.2/modelling/pom.xml",285,""
"AxonFramework-4.11.2/spring/src/main/java/org/axonframework/spring/config/SpringAxonAutoConfigurer.java",273,""
"AxonFramework-4.11.2/config/pom.xml",268,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/aggregate/AggregateTestFixture.java",253,""
"AxonFramework-4.11.2/disruptor/pom.xml",243,""
"AxonFramework-4.11.2/metrics-micrometer/pom.xml",226,""
"AxonFramework-4.11.2/messaging/src/main/java/org/axonframework/eventhandling/TrackingEventProcessor.java",217,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/command/AxonServerCommandBus.java",216,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/event/axon/AxonServerEventStore.java",201,""
"AxonFramework-4.11.2/.github/workflows/main.yml",199,""
"AxonFramework-4.11.2/spring/src/test/java/org/axonframework/spring/config/SpringAxonAutoConfigurerTest.java",197,""
"AxonFramework-4.11.2/.github/workflows/pullrequest.yml",194,""
"AxonFramework-4.11.2/integrationtests/src/test/java/org/axonframework/integrationtests/eventhandling/TrackingEventProcessorTest.java",190,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/saga/SagaTestFixture.java",189,""
"AxonFramework-4.11.2/axon-server-connector/src/test/java/org/axonframework/axonserver/connector/query/AxonServerQueryBusTest.java",176,""
"AxonFramework-4.11.2/config/src/main/java/org/axonframework/config/EventProcessingModule.java",165,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/AxonServerConnectionManager.java",153,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/aggregate/ResultValidatorImpl.java",150,""
"AxonFramework-4.11.2/axon-server-connector/src/test/java/org/axonframework/axonserver/connector/command/AxonServerCommandBusTest.java",148,""
"AxonFramework-4.11.2/integrationtests/src/test/java/org/axonframework/integrationtests/loopbacktest/synchronous/SynchronousLoopbackTest.java",147,""
"AxonFramework-4.11.2/tracing-opentelemetry/pom.xml",146,""
"AxonFramework-4.11.2/spring/src/main/java/org/axonframework/spring/config/AxonConfiguration.java",142,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/AxonServerConfiguration.java",140,""
"AxonFramework-4.11.2/spring-boot-3-integrationtests/pom.xml",132,""
"AxonFramework-4.11.2/spring-boot-autoconfigure/src/main/java/org/axonframework/springboot/autoconfig/AxonServerAutoConfiguration.java",131,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/saga/FixtureConfiguration.java",128,""
"AxonFramework-4.11.2/config/src/main/java/org/axonframework/config/DefaultConfigurer.java",127,""
"AxonFramework-4.11.2/config/src/test/java/org/axonframework/config/EventProcessingModuleTest.java",126,""
"AxonFramework-4.11.2/spring-boot-autoconfigure/src/main/resources/META-INF/spring.factories",125,""
"AxonFramework-4.11.2/test/src/test/java/org/axonframework/test/saga/AnnotatedSagaTest.java",117,""
"AxonFramework-4.11.2/reactorless-test/pom.xml",112,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/aggregate/FixtureConfiguration.java",106,""
"AxonFramework-4.11.2/messaging/src/main/java/org/axonframework/eventhandling/pooled/Coordinator.java",104,""
"AxonFramework-4.11.2/spring-boot-autoconfigure/src/main/java/org/axonframework/springboot/autoconfig/AxonAutoConfiguration.java",104,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/saga/FixtureExecutionResultImpl.java",99,""
"AxonFramework-4.11.2/test/src/main/java/org/axonframework/test/aggregate/ResultValidator.java",99,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/processor/EventProcessorControlService.java",99,""
"AxonFramework-4.11.2/test/src/test/java/org/axonframework/test/saga/FixtureExecutionResultImplTest.java",98,""
"AxonFramework-4.11.2/messaging/src/test/java/org/axonframework/eventhandling/pooled/PooledStreamingEventProcessorTest.java",97,""
"AxonFramework-4.11.2/axon-server-connector/src/test/java/org/axonframework/axonserver/connector/event/axon/AxonServerEventStoreTest.java",93,""
"AxonFramework-4.11.2/integrationtests/src/test/java/org/axonframework/integrationtests/commandhandling/EventPublicationOrderTest.java",92,""
"AxonFramework-4.11.2/config/src/main/java/org/axonframework/config/AggregateConfigurer.java",92,""
"AxonFramework-4.11.2/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/ServerConnectorConfigurerModule.java",91,""
