"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","forwardToBackwardBalance","numberForward","numberBackward","forwardDependencyExamples","backwardDependencyExamples","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_for_Typescript.cypher"
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts",0.7948717948717948,35,4,"createStaticHandler->SuccessResult,createStaticHandler->AgnosticRouteMatch,matchRSCServerRequest->AgnosticRouteMatch,matchRoutes->AgnosticRouteMatch,createStaticHandler->RouterContextProvider,matchRSCServerRequest->RouterContextProvider,redirect->RedirectFunction,redirectDocument->RedirectFunction,replace->RedirectFunction","RouterContext<-RouterContextProvider,data<-convertRouteMatchToUiMatch,MiddlewareNextFunction<-MiddlewareFunction,RouterContext<-createContext",""
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts",0.75,7,1,"RouterInit->unstable_ClientInstrumentation,createRouter->unstable_InstrumentRouteFunction,createStaticHandler->unstable_InstrumentRouteFunction,createStaticHandler->getRouteInstrumentationUpdates,createRouter->getRouteInstrumentationUpdates,createRouter->instrumentClientSideRouter,createRouter->unstable_InstrumentRouterFunction","Router<-instrumentClientSideRouter",""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts",0.7142857142857143,6,1,"createStaticHandlerDataRoutes->SingleFetchRedirectSymbol,createStaticHandlerDataRoutes->replace,createStaticHandlerDataRoutes->redirectDocument,createStaticHandlerDataRoutes->MiddlewareFunction,createStaticHandlerDataRoutes->redirect,createStaticHandlerDataRoutes->decodeViaTurboStream","ServerRouteManifest<-ServerBuild",""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts",0.6666666666666666,5,1,"callRouteHandler->LoaderFunctionArgs,callRouteHandler->ActionFunction,callRouteHandler->LoaderFunction,callRouteHandler->DataWithResponseInit,callRouteHandler->ActionFunctionArgs","AppLoadContext<-RequestHandler",""
"react-router","./lib/context.ts","react-router","./lib/router/router.ts",0.6,4,1,"DataRouterStateContext->Router,DataRouterContextObject->Router,DataRouterStateContext->RouterState,DataRouterContextObject->StaticHandlerContext","RouteObject<-createRouter",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts",0.6,12,3,"createSessionStorage->SessionStorage,createSessionStorage->SessionIdStorageStrategy,SessionIdStorageStrategy->Cookie,warnOnceAboutSigningSessionCookie->Cookie,createSessionStorage->Cookie,createSessionStorage->isCookie,isSession->IsSessionFunction,SessionStorage->Session,CreateSessionFunction->Session","createSessionStorage<-createMemorySessionStorage,createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts",0.6,12,3,"createSessionStorage->createCookie,SessionStorage->Session,CreateSessionFunction->Session,createSession->Session,SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->isCookie,isSession->IsSessionFunction,createSessionStorage->SessionStorage,createSessionStorage->SessionIdStorageStrategy","createSessionStorage<-createMemorySessionStorage,createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts",0.5555555555555556,14,4,"fetchAndApplyManifestPatches->RouteModules,useFogOFWarDiscovery->RouteModules,getPatchRoutesOnNavigationFunction->RouteModules,getPatchRoutesOnNavigationFunction->PatchRoutesOnNavigationFunction,getPartialManifest->matchRoutes,getPartialManifest->RouterState,getPartialManifest->AssetsManifest,useFogOFWarDiscovery->AssetsManifest,getPatchRoutesOnNavigationFunction->AssetsManifest","isFogOfWarEnabled<-useFogOFWarDiscovery,fetchAndApplyManifestPatches<-useFogOFWarDiscovery,isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction,fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction",""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts",0.5,3,1,"reactRouterVitePlugin->isCssModulesFile,reactRouterVitePlugin->getCssStringFromViteDevModuleCode,reactRouterVitePlugin->getStylesForPathname","LoadCssContents<-getStylesForPathname",""
"react-router","./lib/rsc/server.rsc.ts","react-router","./index.ts",0.47619047619047616,31,11,"RSCMatch->RSCPayload,RSCRouteManifest->ClientActionFunction,RSCRouteManifest->LinksFunction,matchRSCServerRequest->DecodeReplyFunction,replace->replace,matchRSCServerRequest->RSCMatch,RSCRouteManifest->ClientLoaderFunction,RSCManifestPayload->RSCRouteManifest,RSCRenderPayload->RSCRouteManifest","RSCRedirectPayload<-RSCPayload,RSCManifestPayload<-RSCPayload,RSCActionPayload<-RSCPayload,RSCRenderPayload<-RSCPayload,RSCPayload<-RSCMatch,RSCRouteConfigEntry<-RSCRouteConfig,RSCRouteManifest<-RSCManifestPayload,RSCRouteMatch<-RSCRenderPayload,RSCRouteManifest<-RSCRenderPayload",""
"react-router","./lib/server-runtime/server.ts","react-router","./index.ts",0.42857142857142855,5,2,"RequestHandler->AppLoadContext,CreateRequestHandlerFunction->RequestHandler,createRequestHandler->CreateRequestHandlerFunction,createRequestHandler->ServerBuild,CreateRequestHandlerFunction->ServerBuild","RequestHandler<-CreateRequestHandlerFunction,CreateRequestHandlerFunction<-createRequestHandler",""
"react-router","./lib/router/router.ts","react-router","./index.ts",0.4090909090909091,62,26,"createRouter->Action,RouterState->Action,BlockerFunction->Action,createRouter->unstable_InstrumentRouteFunction,createStaticHandler->unstable_InstrumentRouteFunction,createRouter->IDLE_BLOCKER,Router->RouterSubscriber,createRouter->RouterSubscriber,RouterInit->unstable_ClientInstrumentation","Router<-useFogOFWarDiscovery,Navigation<-RouterState,Fetcher<-RouterState,Blocker<-RouterState,RevalidationState<-RouterState,Router<-DataRouterStateContext,RouterState<-DataRouterStateContext,StaticHandlerContext<-EntryContext,FutureConfig<-Router",""
"react-router","./index-react-server.ts","react-router","./index.ts",0.38461538461538464,54,24,"RSCMatch->RSCPayload,createCookieSessionStorage->createCookie,createStaticHandler->unstable_InstrumentRouteFunction,RSCRouteManifest->ClientActionFunction,RSCRouteManifest->LinksFunction,matchRSCServerRequest->DecodeReplyFunction,replace->replace,createStaticHandler->ErrorResponseImpl,matchRSCServerRequest->RSCMatch","RSCManifestPayload<-RSCPayload,RSCRenderPayload<-RSCPayload,Cookie<-createCookie,CookieOptions<-createCookie,RSCPayload<-RSCMatch,RSCRouteConfigEntry<-RSCRouteConfig,RouterContext<-createContext,RSCRouteManifest<-RSCManifestPayload,RSCRouteManifest<-RSCRenderPayload",""
