"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.1.0",6,16,6,266.6666666666667,24,80,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,org.slf4j,io.opentelemetry.context","TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators,Span,StatusCode,SpanContext,SpanBuilder,SpanKind",""
"axoniq-spring-boot-autoconfigure-5.1.0",26,45,26,173.0769230769231,84,166,26,"org.springframework.boot.autoconfigure.condition,org.springframework.boot.actuate.health,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties","ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnProperty,Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator,AutoConfiguration",""
"axon-server-connector-5.1.0",79,125,24,158.22784810126583,239,1068,24,"io.axoniq.axonserver.grpc.event.dcb,io.axoniq.axonserver.grpc,io.grpc,io.axoniq.axonserver.connector","Snapshot$Builder,AddSnapshotRequest,Snapshot,AddSnapshotRequest$Builder,GetLastSnapshotRequest$Builder,GetLastSnapshotResponse,GetLastSnapshotRequest,AddSnapshotResponse,SequencedEvent",""
"axon-metrics-micrometer-5.1.0",19,21,8,110.5263157894737,52,163,8,"io.micrometer.core.instrument,org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure,org.jspecify.annotations","Clock,MeterRegistry,Tag,Gauge$Builder,Gauge,Tags,Timer,Counter,Timer$Builder",""
"axon-conversion-5.1.0",41,39,15,95.1219512195122,78,293,15,"org.apache.avro,com.fasterxml.jackson.databind,org.apache.avro.message,org.slf4j","AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,SchemaNormalization,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException",""
"axon-test-5.1.0",79,19,6,24.050632911392405,61,235,6,"org.hamcrest,org.junit.jupiter.api.extension,org.jspecify.annotations,org.slf4j","Matcher,CoreMatchers,StringDescription,Description,BaseMatcher,TypeSafeMatcher,AfterEachCallback,ExtensionContext$Store,ParameterResolutionException",""
"axon-common-5.1.0",175,28,11,16,61,198,11,"org.jspecify.annotations,org.slf4j,org.ehcache.event,javax.cache.event","NullMarked,LoggerFactory,Logger,EventType,CacheEvent,CacheEventListener,EventOrdering,EventFiring,CacheEntryListenerException",""
"axon-eventsourcing-5.1.0",121,19,6,15.702479338842975,43,106,6,"jakarta.persistence,org.slf4j,org.jspecify.annotations,ScannedEntityCreator","EntityExistsException,GenerationType,SequenceGenerator,Column,Index,Lob,Id,Entity,GeneratedValue",""
"axon-update-5.1.0",28,3,2,10.714285714285715,19,50,2,"org.slf4j,org.jspecify.annotations","Logger,LoggerFactory,NullMarked",""
"axon-messaging-5.1.0",634,33,8,5.205047318611987,178,501,8,"org.jspecify.annotations,org.slf4j,com.fasterxml.jackson.annotation,jakarta.persistence","NullMarked,Logger,LoggerFactory,JsonProperty,JsonCreator,JsonGetter,JsonTypeInfo,JsonIgnore,JsonTypeInfo$Id",""
"axon-modelling-5.1.0",99,3,2,3.0303030303030303,11,24,2,"org.jspecify.annotations,org.slf4j","NullMarked,LoggerFactory,Logger",""
