"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_overall.cypher"
"org.jspecify",124,124,124,124,124,1307,"NullMarked",""
"org.slf4j",37,73,133,472,124,1307,"Logger,LoggerFactory",""
"io.axoniq",12,50,187,932,124,1307,"AxonServerContainer,PostgresqlEventStorageEngine,JdbcSequencedDeadLetterQueue,DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder,SequencedDeadLetterQueueFactory,SequencedDeadLetterQueue,DeadLetterQueueConfiguration,DistributedQueryBusConfiguration",""
"org.springframework",7,19,66,115,124,1307,"ConfigurationProperties,ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionSource,ConnectionDetails,ContainerConnectionDetailsFactory,RunningService,DockerComposeConnectionSource,ConnectionPorts,DockerComposeConnectionDetailsFactory",""
"com.google",6,9,9,39,124,1307,"ByteString,MessageLite",""
"io.grpc",6,9,30,68,124,1307,"Metadata$Key,Status$Code,Status,Metadata$AsciiMarshaller,StatusRuntimeException,Metadata,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,ForwardingClientCall$SimpleForwardingClientCall",""
"reactor.core",6,9,16,51,124,1307,"MonoSink,Flux,Mono,FluxSink,Schedulers,Scheduler",""
"com.fasterxml",5,12,36,118,124,1307,"ObjectMapper,JsonProcessingException,JsonNode,ObjectNode,JsonNodeType,JavaType,JsonGetter,JsonTypeInfo,JsonCreator",""
"jakarta.persistence",5,16,40,179,124,1307,"TypedQuery,EntityManager,EntityExistsException,GenerationType,SequenceGenerator,Column,Index,Lob,Id",""
"io.micrometer",3,13,39,145,124,1307,"Tag,Tags,SimpleMeterRegistry,MeterRegistry,Counter,Clock,Timer,Timer$Builder,Gauge$Builder",""
"org.hamcrest",3,22,44,196,124,1307,"Description,StringDescription,Matcher,CoreMatchers,TypeSafeMatcher,BaseMatcher",""
"org.reactivestreams",3,6,8,27,124,1307,"Publisher,Subscription,Subscriber",""
"org.axonframework",2,2,2,2,124,1307,"RegisterDefaultEntities,AxonAutoConfiguration",""
"IdTypeParameterResolver",1,1,1,1,124,1307,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1307,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1307,"WrappedEventCriteriaBuilderMethod",""
"io.opentelemetry",1,5,21,72,124,1307,"Span,StatusCode,SpanContext,SpanBuilder,Scope,TextMapSetter,TextMapGetter,Tracer,GlobalOpenTelemetry",""
"jakarta.validation",1,2,5,16,124,1307,"Validation,ConstraintViolation,Validator,ValidatorFactory",""
"javax.cache",1,2,12,48,124,1307,"Cache,CacheEntryListenerConfiguration,Factory,CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryListener",""
"org.apache",1,9,37,132,124,1307,"Schema,SchemaCompatibility$Incompatibility,DecoderFactory,GenericDatumReader,GenericRecord,SchemaStore,BinaryMessageEncoder,AvroRuntimeException,SpecificData",""
"org.awaitility",1,1,2,3,124,1307,"ConditionFactory,Awaitility",""
"org.ehcache",1,3,10,45,124,1307,"EventOrdering,EventFiring,EventType,Ehcache,CacheRuntimeConfiguration,CacheEventListener,CacheEvent",""
"org.junit",1,1,8,28,124,1307,"AfterEachCallback,ExtensionContext$Store,ParameterResolutionException,ExtensionContext$Namespace,ParameterResolver,BeforeEachCallback,ParameterContext,ExtensionContext",""
"reactor.util",1,2,2,4,124,1307,"Queues",""
"tools.jackson",1,5,16,62,124,1307,"JsonNodeType,JsonNode,ObjectNode,JavaType,JsonMapper,JsonMapper$Builder,ObjectMapper,JacksonException",""
