"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"org.jspecify.annotations",124,124,124,124,124,1307,"NullMarked",""
"org.slf4j",37,73,133,472,124,1307,"Logger,LoggerFactory",""
"io.axoniq.axonserver.grpc",8,15,34,220,124,1307,"MetaDataValue$DataCase,ErrorMessage$Builder,ErrorMessage,SerializedObject,MetaDataValue$Builder,MetaDataValue,ProcessingInstruction$Builder,ProcessingKey,ProcessingInstruction",""
"io.axoniq.axonserver.connector",7,17,24,129,124,1307,"AxonServerConnection,Registration,ResultStream,FlowControl,ReplyChannel,AxonServerConnectionFactory$Builder,AxonServerConnectionFactory",""
"com.google.protobuf",6,9,9,39,124,1307,"ByteString,MessageLite",""
"io.grpc",6,8,26,60,124,1307,"Metadata$Key,Status$Code,Status,Metadata$AsciiMarshaller,StatusRuntimeException,Metadata,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,ForwardingClientCall$SimpleForwardingClientCall",""
"jakarta.persistence",5,16,40,179,124,1307,"TypedQuery,EntityManager,EntityExistsException,GenerationType,SequenceGenerator,Column,Index,Lob,Id",""
"reactor.core.publisher",5,8,14,49,124,1307,"MonoSink,Flux,Mono,FluxSink",""
"io.axoniq.axonserver.connector.control",4,5,5,6,124,1307,"ControlChannel,ProcessorInstructionHandler",""
"org.springframework.boot.context.properties",4,9,9,9,124,1307,"ConfigurationProperties,EnableConfigurationProperties",""
"com.fasterxml.jackson.annotation",3,6,19,33,124,1307,"JsonGetter,JsonTypeInfo,JsonCreator,JsonProperty,JsonIgnore,JsonTypeInfo$Id",""
"io.axoniq.axonserver.grpc.control",3,6,13,86,124,1307,"NodeInfo,NodeInfo$Builder,EventProcessorInfo,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,TopologyChange,UpdateType,QuerySubscription",""
