"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-5.1.0","axon-messaging-5.1.0",2,57,0.03508771929824561,"org.axonframework.messaging.core,org.axonframework.messaging.tracing","core,tracing",""
"axoniq-spring-boot-autoconfigure-5.1.0","axon-common-5.1.0",1,15,0.06666666666666667,"org.axonframework.common.configuration","configuration",""
"axon-tracing-opentelemetry-5.1.0","axon-common-5.1.0",1,15,0.06666666666666667,"org.axonframework.common","common",""
"axoniq-spring-boot-autoconfigure-5.1.0","axon-messaging-5.1.0",4,57,0.07017543859649122,"org.axonframework.messaging.core.unitofwork.transaction.jdbc,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.core.unitofwork.transaction.jpa","jdbc,conversion,pooled,jpa",""
"axon-test-5.1.0","axon-eventsourcing-5.1.0",1,11,0.09090909090909091,"org.axonframework.eventsourcing.eventstore","eventstore",""
"axon-metrics-micrometer-5.1.0","axon-messaging-5.1.0",7,57,0.12280701754385964,"org.axonframework.messaging.eventhandling.processing,org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.monitoring,org.axonframework.messaging.queryhandling,org.axonframework.messaging.commandhandling,org.axonframework.messaging.core,org.axonframework.messaging.eventhandling","processing,configuration,monitoring,queryhandling,commandhandling,core,eventhandling",""
"axon-metrics-micrometer-5.1.0","axon-common-5.1.0",2,15,0.13333333333333333,"org.axonframework.common.configuration,org.axonframework.common","configuration,common",""
"axon-server-connector-5.1.0","axon-modelling-5.1.0",1,7,0.14285714285714285,"org.axonframework.modelling","modelling",""
"axon-test-5.1.0","axon-messaging-5.1.0",9,57,0.15789473684210525,"org.axonframework.messaging.core.annotation,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.commandhandling,org.axonframework.messaging.core,org.axonframework.messaging.eventhandling,org.axonframework.messaging.monitoring,org.axonframework.messaging.eventstreaming,org.axonframework.messaging.core.conversion,org.axonframework.messaging.eventhandling.processing.streaming.token","annotation,unitofwork,commandhandling,core,eventhandling,monitoring,eventstreaming,conversion,token",""
"axon-eventsourcing-5.1.0","axon-conversion-5.1.0",1,5,0.2,"org.axonframework.conversion","conversion",""
