"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_occurrence.cypher"
"react",49,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta",""
"react-dom",49,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta",""
"react-router",30,0,"integration-rsc-vite,@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/rsc-vite-7-framework,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express,@playground/framework","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta",""
"react-router-dom",23,0,"search-params,ssr,custom-query-parse-serialization,basic,error-boundaries,ssr-data-router,basic-data-router,auth,custom-link","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/examples/search-params,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/examples/ssr,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/examples/custom-query-parsing,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/examples/basic",""
"isbot",22,0,"@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/middleware,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@remix-run/react-router,@playground/vite-plugin-cloudflare","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/middleware",""
"@react-router/node",21,0,"@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/middleware,@playground/framework-express,@playground/framework,@playground/split-route-modules-spa,@playground/split-route-modules,@playground/framework-vite-6","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/middleware",""
"express",18,0,"integration-rsc-vite,@playground/rsc-vite-7-framework,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express,@playground/vite-plugin-cloudflare,@playground/rsc-vite,ssr,integration","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/rsc-vite-7-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/rsc-vite-framework",""
"@react-router/serve",13,0,"@playground/framework-vite-5,@playground/perf-routes,@playground/framework-vite-7-beta,@playground/framework,@playground/split-route-modules,@playground/framework-vite-6,integration-vite-6-template,integration-vite-5-template,integration-vite-7-beta-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-5,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/performance,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-vite-7-beta,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework",""
"compression",11,0,"integration-rsc-vite,@playground/rsc-vite-7-framework,@playground/middleware,@playground/rsc-vite-framework,@playground/framework-express,@playground/rsc-vite,ssr,ssr-data-router,multi-app","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/rsc-vite,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/rsc-vite-7-framework,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/rsc-vite-framework",""
"@react-router/express",8,0,"@playground/middleware,@playground/framework-express,integration,integration-vite-6-template,integration-vite-5-template,@react-router/serve,integration-vite-7-beta-template,integration-vite-8-template","","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/middleware,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/playground/framework-express,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.16.0/./source/react-router-7.16.0/integration/helpers/vite-6-template",""
