"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,229,1,75,3,11.450000000000005,21.60768625427438,33,1,8,1,1.65,1.7554426642213128,0.15625,1.25,0.15625,0.2578125,0.27428791628458016,"plugin,vite,commands,config",""
"@types/process",17,42,1,5,2,2.4705882352941178,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644574,0.15625,0.625,0.15625,0.22058823529411764,0.12425097274444645,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,80,1,26,4,5.333333333333333,6.309478885734052,31,1,5,1,2.066666666666667,1.4375905768565218,0.15625,0.78125,0.15625,0.32291666666666674,0.2246235276338315,"routes,plugin,vite,commands",""
"@types/path",13,41,1,7,2,3.1538461538461533,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15625,0.78125,0.15625,0.2644230769230769,0.18470811389796496,"utils,react-router-node,fileStorage,plugin",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115678,0.15625,0.46875,0.15625,0.21875,0.13176156917368248,"utils,react-router-node,fileStorage,plugin",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15625,0.46875,0.15625,0.22569444444444445,0.11351299332137171,"utils,plugin,vite,commands",""
"promises",8,31,2,7,3.5,3.8750000000000004,2.100170061141308,16,1,4,1.5,2,1.3093073414159542,0.15625,0.625,0.234375,0.3125,0.20457927209624283,"utils,react-router-node,fileStorage,plugin",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.15625,0.3125,0.15625,0.20089285714285715,0.07624219319910415,"plugin,vite,commands,run",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.15625,0.46875,0.15625,0.20833333333333334,0.12757759076995717,"plugin,vite,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333333,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15625,0.3125,0.15625,0.18229166666666666,0.06378879538497859,"server,react-router-node,stream,fileStorage",""
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.15625,2.1875,0.625,0.9895833333333334,0.8930431353897004,"context,react-router,server,utils",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333333,0.983192080250175,0.15625,0.46875,0.234375,0.2864583333333333,0.15362376253908985,"utils,profiler,prerender,normalizeSlashes",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,49,2,17,8,9.8,6.496152707564686,7,1,3,1,1.4,0.8944271909999159,0.15625,0.46875,0.15625,0.21875,0.13975424859373686,"useJavascript,remove-exports,route-chunks,styles",""
"fs",5,17,2,5,3,3.4,1.51657508881031,8,1,2,2,1.6,0.5477225575051662,0.15625,0.3125,0.3125,0.25,0.0855816496101822,"utils,plugin,vite,config",""
"http",5,11,1,3,2,2.2,0.8366600265340756,9,1,2,2,1.8,0.4472135954999579,0.15625,0.3125,0.3125,0.28125,0.06987712429686842,"server,react-router-node,plugin,vite",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.15625,0.46875,0.15625,0.234375,0.15625,"routes,plugin,vite,config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666666,9.451631252505218,10,1,5,4,3.3333333333333335,2.0816659994661326,0.15625,0.78125,0.625,0.5208333333333334,0.3252603124165832,"react-router-cloudflare,workersKVStorage,worker",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,3,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"plugin,vite,useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"remove-exports,styles,with-props",""
"lexer",3,4,1,2,1,1.3333333333333333,0.5773502691896258,5,1,2,2,1.6666666666666667,0.5773502691896258,0.15625,0.3125,0.3125,0.2604166666666667,0.09021097956087903,"plugin,vite,virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.15625,0.625,0.3125,0.36458333333333337,0.23867581744561667,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"copy-template,plugin,vite",""
