"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",11,38,1,14,3,3.4545454545454537,3.670521389765666,20,100,42.85714285714286,49.1209667525457,26.46286594041022,74,1,30,3,6.727272727272727,8.486352680520756,1.36986301369863,30.43478260869565,6,9.910565517395884,8.92425534200654,"axon-metrics-micrometer-5.0.0,axon-spring-boot-autoconfigure-5.0.0,axon-common-5.0.0,axon-test-5.0.0",""
"com.fasterxml",4,4,1,1,1,1,0,1.7543859649122806,25,10.989010989010989,12.183101985733565,9.960241034917077,12,1,5,3,3,1.8257418583505538,0.3508771929824561,16.666666666666668,3.3636363636363638,5.9362041467304625,7.618447001893774,"axon-spring-boot-autoconfigure-5.0.0,axon-common-5.0.0,axon-messaging-5.0.0,axon-conversion-5.0.0",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,1.7543859649122806,28.571428571428573,10.989010989010989,13.075959128590707,11.528729367425605,12,2,4,3,3,1.1547005383792515,0.3508771929824561,6.0606060606060606,2.6666666666666665,2.9362041467304625,2.591438419043195,"axon-spring-boot-autoconfigure-5.0.0,axon-common-5.0.0,axon-messaging-5.0.0,axon-eventsourcing-5.0.0",""
"com.google",2,5,1,4,2.5,2.5,2.1213203435596424,20,80,50,50,42.42640687119285,9,1,8,4.5,4.5,4.949747468305833,1.36986301369863,11.11111111111111,6.2404870624048705,6.2404870624048705,6.888102586900919,"axon-test-5.0.0,axon-server-connector-5.0.0",""
"io.axoniq",2,6,1,5,3,3,2.8284271247461903,14.285714285714286,100,57.142857142857146,57.14285714285714,60.60915267313265,45,1,44,22.5,22.5,30.405591591021544,1.5151515151515151,61.11111111111111,31.31313131313131,31.31313131313131,42.14070716162253,"axon-spring-boot-autoconfigure-5.0.0,axon-server-connector-5.0.0",""
"org.apache",2,2,1,1,1,1,0,14.285714285714286,25,19.642857142857142,19.642857142857142,7.576144084141581,12,3,9,6,6,4.242640687119285,4.545454545454545,30,17.272727272727273,17.272727272727273,17.9990817029303,"axon-spring-boot-autoconfigure-5.0.0,axon-conversion-5.0.0",""
"reactor.core",2,6,1,5,3,3,2.8284271247461903,8.771929824561402,20,14.385964912280702,14.385964912280702,7.9394445606910615,9,1,8,4.5,4.5,4.949747468305833,1.3888888888888888,1.4035087719298245,1.3961988304093567,1.3961988304093567,0.010337818438399798,"axon-server-connector-5.0.0,axon-messaging-5.0.0",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
"ScannedEntityCreator",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
