"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.slf4j",9,67,1,39,3,7.444444444444445,12.146101340668032,25,100,60,68.31088664421996,28.74692629296528,151,1,82,8,16.77777777777778,25.528306728893018,2.2988505747126435,36.36363636363637,10.526315789473683,13.534023364772054,10.427345943256215,"axon-disruptor-4.11.0,axon-tracing-opentelemetry-4.11.0,axon-modelling-4.11.0,axon-eventsourcing-4.11.0",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.545454545454545,22.22222222222222,15.555555555555555,14.46969696969697,8.174280520075282,17,3,8,3,4.25,2.5,0.9888751545117429,3.409090909090909,2.0771866374797754,2.1380848346405505,1.0012071167970689,"axon-modelling-4.11.0,axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,6.0606060606060606,30,22.22222222222222,20.126262626262623,10.068423868781153,17,3,8,3,4.25,2.5,0.9888751545117429,3.409090909090909,2.0771866374797754,2.1380848346405505,1.0012071167970689,"axon-modelling-4.11.0,axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.fasterxml.jackson.databind",2,2,1,1,1,1,0,1.5151515151515151,11.11111111111111,6.313131313131313,6.313131313131313,6.785368102295153,9,2,7,4.5,4.5,3.5355339059327378,0.865265760197775,2.272727272727273,1.568996516462524,1.568996516462524,0.9952255797686829,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.github.kagkarlsson.scheduler",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,5,1,4,2.5,2.5,2.1213203435596424,0.49443757725587145,1.1363636363636365,0.8154006068097539,0.8154006068097539,0.45391026941545715,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.github.kagkarlsson.scheduler.task",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,5,1,4,2.5,2.5,2.1213203435596424,0.49443757725587145,1.1363636363636365,0.8154006068097539,0.8154006068097539,0.45391026941545715,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.thoughtworks.xstream",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,6,2,4,3,3,1.4142135623730951,0.49443757725587145,2.272727272727273,1.3835824249915722,1.3835824249915722,1.2574407025819885,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"io.axoniq.axonserver.connector.event",2,2,1,1,1,1,0,9.090909090909092,11.11111111111111,10.1010101010101,10.1010101010101,1.428498547851611,15,1,14,7.5,7.5,9.192388155425117,1.1363636363636365,9.859154929577464,5.49775928297055,5.49775928297055,6.167944874306472,"axon-server-connector-4.11.0,axon-spring-boot-autoconfigure-4.11.0",""
"io.axoniq.axonserver.connector.impl",2,4,1,3,2,2,1.4142135623730951,11.11111111111111,27.272727272727273,19.19191919191919,19.19191919191919,11.427988382812888,5,1,4,2.5,2.5,2.1213203435596424,1.1363636363636365,2.816901408450704,1.9766325224071704,1.9766325224071704,1.1883196546828982,"axon-server-connector-4.11.0,axon-spring-boot-autoconfigure-4.11.0",""
"org.apache.avro.message",2,2,1,1,1,1,0,1.5151515151515151,11.11111111111111,6.313131313131313,6.313131313131313,6.785368102295153,8,3,5,4,4,1.4142135623730951,0.6180469715698393,3.409090909090909,2.0135689403303743,2.0135689403303743,1.9735660948107512,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
