"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","forwardToBackwardBalance","numberForward","numberBackward","forwardDependencyExamples","backwardDependencyExamples","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_for_Typescript.cypher"
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts",0.7948717948717948,35,4,"RouterContextProvider->RouterContext,createContext->RouterContext,createStaticHandler->ResultType,createStaticHandler->isRouteErrorResponse,createStaticHandler->DataStrategyMatch,matchRoutes->AgnosticRouteObject,createStaticHandler->AgnosticRouteObject,matchRSCServerRequest->stripBasename,redirect->redirect","MiddlewareNextFunction<-MiddlewareFunction,data<-convertRouteMatchToUiMatch,RouterContext<-RouterContextProvider,RouterContext<-createContext",""
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts",0.75,7,1,"createRouter->getRouteInstrumentationUpdates,createStaticHandler->getRouteInstrumentationUpdates,createRouter->unstable_InstrumentRouteFunction,createStaticHandler->unstable_InstrumentRouteFunction,createRouter->unstable_InstrumentRouterFunction,createRouter->instrumentClientSideRouter,RouterInit->unstable_ClientInstrumentation","Router<-instrumentClientSideRouter",""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts",0.7142857142857143,6,1,"createStaticHandlerDataRoutes->replace,createStaticHandlerDataRoutes->SingleFetchRedirectSymbol,createStaticHandlerDataRoutes->decodeViaTurboStream,createStaticHandlerDataRoutes->MiddlewareFunction,createStaticHandlerDataRoutes->redirect,createStaticHandlerDataRoutes->redirectDocument","ServerRouteManifest<-ServerBuild",""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts",0.6666666666666666,5,1,"callRouteHandler->LoaderFunction,callRouteHandler->ActionFunctionArgs,callRouteHandler->ActionFunction,callRouteHandler->LoaderFunctionArgs,callRouteHandler->DataWithResponseInit","AppLoadContext<-RequestHandler",""
"react-router","./lib/context.ts","react-router","./lib/router/router.ts",0.6,4,1,"DataRouterContextObject->Router,DataRouterStateContext->Router,DataRouterContextObject->StaticHandlerContext,DataRouterStateContext->RouterState","RouteObject<-createRouter",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts",0.6,12,3,"isSession->IsSessionFunction,createSessionStorage->isCookie,createSessionStorage->SessionStorage,SessionIdStorageStrategy->CookieSignatureOptions,warnOnceAboutSigningSessionCookie->Cookie,createSessionStorage->Cookie,SessionIdStorageStrategy->Cookie,createSessionStorage->SessionIdStorageStrategy,createSessionStorage->createCookie","createSessionStorage<-createMemorySessionStorage,createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts",0.6,12,3,"warnOnceAboutSigningSessionCookie->Cookie,createSessionStorage->Cookie,SessionIdStorageStrategy->Cookie,isSession->IsSessionFunction,SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->isCookie,createSessionStorage->SessionIdStorageStrategy,SessionStorage->Session,CreateSessionFunction->Session","createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSessionStorage<-createMemorySessionStorage",""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts",0.5555555555555556,14,4,"useFogOFWarDiscovery->RouteModules,fetchAndApplyManifestPatches->RouteModules,getPatchRoutesOnNavigationFunction->RouteModules,fetchAndApplyManifestPatches->createClientRoutes,getPartialManifest->AssetsManifest,getPatchRoutesOnNavigationFunction->AssetsManifest,useFogOFWarDiscovery->AssetsManifest,fetchAndApplyManifestPatches->AssetsManifest,getPatchRoutesOnNavigationFunction->PatchRoutesOnNavigationFunction","fetchAndApplyManifestPatches<-useFogOFWarDiscovery,isFogOfWarEnabled<-useFogOFWarDiscovery,fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction,isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction",""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts",0.5,3,1,"reactRouterVitePlugin->getStylesForPathname,reactRouterVitePlugin->isCssModulesFile,reactRouterVitePlugin->getCssStringFromViteDevModuleCode","LoadCssContents<-getStylesForPathname",""
"react-router","./lib/rsc/server.rsc.ts","react-router","./index.ts",0.47619047619047616,31,11,"RSCMatch->RSCPayload,RSCRouteManifest->ShouldRevalidateFunction,replace->replace,RSCRouteManifest->MetaFunction,matchRSCServerRequest->RSCRouteConfigEntry,RSCRouteConfig->RSCRouteConfigEntry,matchRSCServerRequest->LoadServerActionFunction,RSCRenderPayload->Location,RSCRouteManifest->ClientLoaderFunction","matchRSCServerRequest<-unstable_matchRSCServerRequest,RSCActionPayload<-RSCPayload,RSCRenderPayload<-RSCPayload,RSCManifestPayload<-RSCPayload,RSCRedirectPayload<-RSCPayload,RSCRouteConfigEntry<-RSCRouteConfig,RSCPayload<-RSCMatch,RSCRouteMatch<-RSCRenderPayload,RSCRouteManifest<-RSCRenderPayload",""
