"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"react-router-architect","react-router-architect","react-router-7.13.1",false,false,false,2,943,60,98,2,2,2,"./index.ts -> ./binaryTypes.ts,./server.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-cloudflare","react-router-cloudflare","react-router-7.13.1",false,false,false,1,342,88,118,3,2,3,"./worker.ts -> ./index.ts,./index.ts -> ./worker.ts,./index.ts -> ./sessions/workersKVStorage.ts","react-router-cloudflare -> react-router-cloudflare","react-router-cloudflare -> react-router-cloudflare",""
"react-router-cloudflare","react-router-cloudflare","react-router-7.13.1",false,false,false,2,943,60,98,1,1,1,"./worker.ts -> ./sessions/workersKVStorage.ts","react-router-cloudflare -> react-router-cloudflare","react-router-cloudflare -> react-router-cloudflare",""
"react-router-dev","react-router-dev","react-router-7.13.1",false,false,false,1,342,88,118,95,28,42,"./config/config.ts -> ./config.ts,./vite/plugin.ts -> ./config.ts,./vite/plugin.ts -> ./manifest.ts,./config/routes.ts -> ./routes.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.1",false,false,false,2,943,60,98,115,19,39,"./cli/commands.ts -> ./config.ts,./typegen/context.ts -> ./config.ts,./typegen/generate.ts -> ./config.ts,./vite/build.ts -> ./config.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.1",false,false,false,3,497,49,76,60,13,31,"./cli/run.ts -> ./config.ts,./typegen/index.ts -> ./config.ts,./cli/commands.ts -> ./manifest.ts,./config.ts -> ./routes.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.1",false,false,false,4,142,42,43,31,7,24,"./cli/run.ts -> ./manifest.ts,./cli/run.ts -> ./routes.ts,./config.ts -> ./config/is-react-router-repo.ts,./typegen/context.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.13.1",false,false,false,5,116,35,6,1,1,1,"./typegen/index.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-express","react-router-express","react-router-7.13.1",false,false,false,1,342,88,118,2,2,2,"./server.ts -> ./index.ts,./index.ts -> ./server.ts","react-router-express -> react-router-express","react-router-express -> react-router-express",""
"react-router-fs-routes","react-router-fs-routes","react-router-7.13.1",false,false,false,1,342,88,118,5,2,3,"./index.ts -> ./flatRoutes.ts,./flatRoutes.ts -> ./manifest.ts,./index.ts -> ./manifest.ts,./flatRoutes.ts -> ./normalizeSlashes.ts","react-router-fs-routes -> react-router-fs-routes","react-router-fs-routes -> react-router-fs-routes",""
"react-router-node","react-router-node","react-router-7.13.1",false,false,false,1,342,88,118,4,2,4,"./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./stream.ts,./index.ts -> ./sessions/fileStorage.ts","react-router-node -> react-router-node","react-router-node -> react-router-node",""
"react-router-node","react-router-node","react-router-7.13.1",false,false,false,2,943,60,98,2,1,2,"./server.ts -> ./stream.ts,./server.ts -> ./sessions/fileStorage.ts","react-router-node -> react-router-node","react-router-node -> react-router-node",""
"react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter","react-router-7.13.1",false,false,false,1,342,88,118,2,1,2,"./defineRoutes.ts -> ./manifest.ts,./defineRoutes.ts -> ./normalizeSlashes.ts","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter",""
