"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_overall.cypher"
"org.jspecify",124,124,124,124,124,1313,"NullMarked",""
"org.slf4j",37,74,135,476,124,1313,"Logger,LoggerFactory",""
"io.axoniq",12,50,187,932,124,1313,"SequencedDeadLetterQueueFactory,JpaSequencedDeadLetterQueue$Builder,SequencedDeadLetterQueue,JpaSequencedDeadLetterQueue,PostgresqlConfigurationEnhancer,PostgresqlEventStorageEngine,DeadLetterSchema,JdbcSequencedDeadLetterQueue$Builder,JdbcSequencedDeadLetterQueue",""
"org.springframework",7,19,66,115,124,1313,"ConfigurationProperties,Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator,ConditionalOnProperty,ConditionalOnClass,ConditionalOnMissingBean,Bean",""
"com.google",6,9,9,39,124,1313,"ByteString,MessageLite",""
"io.grpc",6,9,30,68,124,1313,"Status,Status$Code,StatusRuntimeException,ClientInterceptor,ManagedChannelBuilder,GrpcSslContexts,SslContextBuilder,Metadata$Key,Metadata",""
"reactor.core",6,9,15,47,124,1313,"Scheduler,Schedulers,Mono,Flux,FluxSink,MonoSink",""
"com.fasterxml",5,12,36,118,124,1313,"ArrayNode,JsonNode,SerializationFeature,ObjectNode,ObjectMapper,JsonNodeType,JavaType,JsonProcessingException,JsonCreator",""
"jakarta.persistence",5,16,40,181,124,1313,"EntityExistsException,Column,SequenceGenerator,GenerationType,Lob,Table,Basic,Id,GeneratedValue",""
"io.micrometer",3,13,39,145,124,1313,"Tag,Counter,MeterRegistry,Tags,Clock,Timer,Gauge$Builder,Gauge,Timer$Builder",""
"org.hamcrest",3,22,44,196,124,1313,"Matcher,Description,BaseMatcher,TypeSafeMatcher,StringDescription,CoreMatchers",""
"org.reactivestreams",3,6,7,26,124,1313,"Subscriber,Subscription,Publisher",""
"org.axonframework",2,2,2,2,124,1313,"RegisterDefaultEntities,AxonAutoConfiguration",""
"IdTypeParameterResolver",1,1,1,1,124,1313,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1313,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1313,"WrappedEventCriteriaBuilderMethod",""
"io.opentelemetry",1,5,21,72,124,1313,"TextMapSetter,Scope,SpanBuilder,SpanContext,Span,StatusCode,TextMapGetter,Tracer,TextMapPropagator",""
"jakarta.validation",1,2,5,16,124,1313,"Validator,ConstraintViolation,ValidatorFactory,Validation",""
"javax.cache",1,2,12,48,124,1313,"Factory,CacheEntryListenerException,CacheEntryListenerConfiguration,CacheEntryEvent,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryCreatedListener",""
"org.apache",1,9,37,132,124,1313,"SpecificData,SchemaCompatibility$SchemaIncompatibilityType,GenericData,SchemaCompatibility$SchemaCompatibilityType,AvroRuntimeException,SchemaCompatibility$SchemaCompatibilityResult,SchemaNormalization,Schema,SpecificRecordBase",""
"org.awaitility",1,1,2,3,124,1313,"Awaitility,ConditionFactory",""
"org.ehcache",1,3,10,45,124,1313,"CacheEventListener,EventType,CacheEvent,CacheRuntimeConfiguration,Ehcache,EventOrdering,EventFiring",""
"org.junit",1,1,8,28,124,1313,"ExtensionContext$Store,ParameterContext,ExtensionContext$Namespace,ExtensionContext,AfterEachCallback,ParameterResolutionException,BeforeEachCallback,ParameterResolver",""
"reactor.util",1,2,2,4,124,1313,"Queues",""
"tools.jackson",1,5,16,62,124,1313,"ObjectNode,JsonNode,JsonNodeType,JacksonException,ObjectMapper,JsonMapper,JsonMapper$Builder,JavaType",""
