"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.1.1",6,16,6,266.6666666666667,24,80,6,"io.opentelemetry.api.trace,io.opentelemetry.context.propagation,io.opentelemetry.context,org.slf4j","SpanBuilder,Span,SpanKind,Tracer,StatusCode,SpanContext,TextMapPropagator,TextMapSetter,TextMapGetter",""
"axoniq-spring-boot-autoconfigure-5.1.1",26,45,26,173.0769230769231,84,166,26,"org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure,org.springframework.boot.actuate.health,org.springframework.context.annotation","ConditionalOnClass,ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnProperty,AutoConfiguration,AutoConfigureBefore,Status,SimpleStatusAggregator,Health$Builder",""
"axon-server-connector-5.1.1",79,125,24,158.22784810126583,239,1068,24,"io.axoniq.axonserver.grpc.event.dcb,io.axoniq.axonserver.grpc,io.grpc,io.axoniq.axonserver.connector","Tag,TagsAndNamesCriterion,SourceEventsRequest$Builder,Tag$Builder,ConsistencyCondition$Builder,StreamEventsRequest,Criterion$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest$Builder",""
"axon-metrics-micrometer-5.1.1",19,21,8,110.5263157894737,52,163,8,"io.micrometer.core.instrument,org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.jspecify.annotations","MeterRegistry,Tag,Timer$Builder,Timer,Clock,Tags,Gauge$Builder,Gauge,Counter",""
"axon-conversion-5.1.1",41,39,15,95.1219512195122,78,293,15,"org.apache.avro,com.fasterxml.jackson.databind,org.apache.avro.message,org.slf4j","Schema,SchemaCompatibility$Incompatibility,AvroRuntimeException,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaPairCompatibility,InvalidAvroMagicException,SchemaNormalization,SchemaCompatibility",""
"axon-test-5.1.1",79,19,6,24.050632911392405,61,235,6,"org.hamcrest,org.junit.jupiter.api.extension,org.jspecify.annotations,org.slf4j","Matcher,Description,BaseMatcher,TypeSafeMatcher,CoreMatchers,StringDescription,ParameterResolver,BeforeEachCallback,ParameterResolutionException",""
"axon-common-5.1.1",175,28,11,16,61,198,11,"org.jspecify.annotations,org.slf4j,javax.cache.event,org.ehcache.event","NullMarked,LoggerFactory,Logger,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryEvent",""
"axon-eventsourcing-5.1.1",128,19,6,14.84375,45,110,6,"org.slf4j,jakarta.persistence,org.jspecify.annotations,ScannedEntityCreator","LoggerFactory,Logger,TypedQuery,EntityManager,SequenceGenerator,Index,Column,GeneratedValue,GenerationType",""
"axon-update-5.1.1",28,3,2,10.714285714285715,19,50,2,"org.slf4j,org.jspecify.annotations","Logger,LoggerFactory,NullMarked",""
"axon-messaging-5.1.1",633,33,8,5.213270142180095,176,498,8,"org.jspecify.annotations,org.slf4j,jakarta.persistence,com.fasterxml.jackson.annotation","NullMarked,Logger,LoggerFactory,EntityManager,EntityTransaction,EntityManagerFactory,LockModeType,Basic,Id",""
"axon-modelling-5.1.1",99,3,2,3.0303030303030303,11,24,2,"org.jspecify.annotations,org.slf4j","NullMarked,LoggerFactory,Logger",""
