"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","forwardToBackwardBalance","numberForward","numberBackward","forwardDependencyExamples","backwardDependencyExamples","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_for_Typescript.cypher"
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts",0.75,7,1,"createStaticHandler->getRouteInstrumentationUpdates,createRouter->getRouteInstrumentationUpdates,createRouter->instrumentClientSideRouter,RouterInit->unstable_ClientInstrumentation,createStaticHandler->unstable_InstrumentRouteFunction,createRouter->unstable_InstrumentRouteFunction,createRouter->unstable_InstrumentRouterFunction","Router<-instrumentClientSideRouter",""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts",0.75,7,1,"createStaticHandlerDataRoutes->DataRouteObject,createStaticHandlerDataRoutes->replace,createStaticHandlerDataRoutes->MiddlewareFunction,createStaticHandlerDataRoutes->redirectDocument,createStaticHandlerDataRoutes->SingleFetchRedirectSymbol,createStaticHandlerDataRoutes->redirect,createStaticHandlerDataRoutes->decodeViaTurboStream","ServerRouteManifest<-ServerBuild",""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts",0.7073170731707317,35,6,"RouterContextProvider->RouterContext,createContext->RouterContext,redirect->redirect,createStaticHandler->RedirectResult,createStaticHandler->isRouteErrorResponse,createStaticHandler->ResultType,matchRSCServerRequest->stripBasename,createStaticHandler->ErrorResult,matchRSCServerRequest->RouteMatch","data<-convertRouteMatchToUiMatch,RouterContext<-createContext,MiddlewareNextFunction<-MiddlewareFunction,MiddlewareFunction<-BaseRouteObject,RouterContext<-RouterContextProvider,MiddlewareFunction<-RouteObject",""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts",0.6666666666666666,5,1,"callRouteHandler->LoaderFunctionArgs,callRouteHandler->ActionFunction,callRouteHandler->LoaderFunction,callRouteHandler->ActionFunctionArgs,callRouteHandler->DataWithResponseInit","AppLoadContext<-RequestHandler",""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts",0.6363636363636364,18,4,"getPatchRoutesOnNavigationFunction->PatchRoutesOnNavigationFunction,fetchAndApplyManifestPatches->createClientRoutes,getPatchRoutesOnNavigationFunction->Router,getPartialManifest->Router,useFogOFWarDiscovery->Router,fetchAndApplyManifestPatches->Router,fetchAndApplyManifestPatches->AssetsManifest,getPatchRoutesOnNavigationFunction->AssetsManifest,getPartialManifest->AssetsManifest","fetchAndApplyManifestPatches<-useFogOFWarDiscovery,isFogOfWarEnabled<-useFogOFWarDiscovery,fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction,isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts",0.6,12,3,"createSessionStorage->createCookie,SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->SessionIdStorageStrategy,createSessionStorage->Cookie,warnOnceAboutSigningSessionCookie->Cookie,SessionIdStorageStrategy->Cookie,createSessionStorage->SessionStorage,SessionStorage->Session,createSession->Session","createSessionStorage<-createMemorySessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSession<-createCookieSessionStorage",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts",0.6,12,3,"SessionIdStorageStrategy->CookieSignatureOptions,createSessionStorage->SessionStorage,createSessionStorage->SessionIdStorageStrategy,createSessionStorage->isCookie,createSessionStorage->Cookie,warnOnceAboutSigningSessionCookie->Cookie,SessionIdStorageStrategy->Cookie,SessionStorage->Session,createSession->Session","warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSession<-createCookieSessionStorage,createSessionStorage<-createMemorySessionStorage",""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts",0.5,3,1,"reactRouterVitePlugin->isCssModulesFile,reactRouterVitePlugin->getCssStringFromViteDevModuleCode,reactRouterVitePlugin->getStylesForPathname","LoadCssContents<-getStylesForPathname",""
"react-router","./lib/router/router.ts","react-router","./index.ts",0.4563106796116505,75,28,"createStaticHandler->DataStrategyMatch,createRouter->DataStrategyMatch,Router->To,RouterInit->PatchRoutesOnNavigationFunction,Router->RouterSubscriber,createRouter->RouterSubscriber,Fetcher->FormEncType,Navigation->FormEncType,FetcherStates->FormEncType","RouterState<-DataRouterStateContext,Router<-DataRouterStateContext,Router<-useFogOFWarDiscovery,RouterState<-getPatchRoutesOnNavigationFunction,Router<-getPatchRoutesOnNavigationFunction,RouterState<-Router,Blocker<-Router,GetScrollRestorationKeyFunction<-Router,RouterSubscriber<-Router",""
"react-router","./lib/rsc/server.rsc.ts","react-router","./index.ts",0.45454545454545453,32,12,"matchRSCServerRequest->DecodeReplyFunction,RSCRenderPayload->RSCRouteMatch,redirectDocument->RedirectFunction,replace->RedirectFunction,redirect->RedirectFunction,matchRSCServerRequest->DecodeActionFunction,Await->Await,RSCRenderPayload->RSCRouteManifest,RSCManifestPayload->RSCRouteManifest","matchRSCServerRequest<-unstable_matchRSCServerRequest,RSCRouteManifest<-RSCRouteMatch,RSCPayload<-RSCMatch,RSCRouteManifest<-RSCManifestPayload,RSCActionPayload<-RSCPayload,RSCRenderPayload<-RSCPayload,RSCManifestPayload<-RSCPayload,RSCRedirectPayload<-RSCPayload,RSCRouteConfigEntry<-RSCRouteConfig",""
