"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"jakarta.annotation",106,695,899,4946,120,1231,"Nonnull,Nullable",""
"org.slf4j",38,74,133,469,120,1231,"LoggerFactory,Logger",""
"jakarta.persistence",6,18,42,179,120,1231,"EntityManager,EntityManagerFactory,TypedQuery,Index,Lob,Table,GenerationType,Entity,SequenceGenerator",""
"io.axoniq.axonserver.connector",5,16,23,124,120,1231,"AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,AxonServerConnection,FlowControl,Registration,ReplyChannel,ResultStream",""
"io.axoniq.axonserver.grpc",5,18,40,271,120,1231,"ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,MetaDataValue$DataCase,MetaDataValue,MetaDataValue$Builder,ProcessingKey,ProcessingInstruction$Builder",""
"reactor.core.publisher",5,8,14,49,120,1231,"MonoSink,Mono,Flux,FluxSink",""
"com.fasterxml.jackson.annotation",3,6,19,33,120,1231,"JsonIgnore,JsonTypeInfo$Id,JsonProperty,JsonTypeInfo,JsonCreator,JsonGetter",""
"com.fasterxml.jackson.databind",3,8,13,64,120,1231,"ObjectMapper,SerializationFeature,JsonNode,JavaType",""
"io.grpc",3,7,23,51,120,1231,"ManagedChannelBuilder,ClientInterceptor,Status,Metadata,Metadata$AsciiMarshaller,Metadata$Key,Status$Code,StatusRuntimeException,ForwardingClientCall$SimpleForwardingClientCall",""
"io.micrometer.core.instrument",3,13,37,141,120,1231,"MeterRegistry,Timer,Timer$Builder,Clock,Tag,Gauge$Builder,Tags,Gauge,Counter",""
"org.hamcrest",3,22,44,196,120,1231,"StringDescription,Matcher,CoreMatchers,Description,BaseMatcher,TypeSafeMatcher",""
"org.reactivestreams",3,6,8,27,120,1231,"Publisher,Subscription,Subscriber",""
"org.springframework.boot.actuate.health",3,4,7,24,120,1231,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,22,36,37,120,1231,"AutoConfigureAfter,AutoConfigureBefore,AutoConfiguration,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",3,37,55,90,120,1231,"ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty,ConditionalOnBean,AnyNestedCondition,AllNestedConditions,ConditionalOnExpression,SearchStrategy,ConditionOutcome",""
"org.springframework.context.annotation",3,31,41,77,120,1231,"Bean,Primary,ConfigurationCondition$ConfigurationPhase,Conditional,Condition,ConditionContext,Role,ImportBeanDefinitionRegistrar,Import",""
"com.fasterxml.jackson.databind.node",2,3,5,28,120,1231,"ObjectNode,ArrayNode,JsonNodeType",""
"io.axoniq.axonserver.grpc.control",2,6,13,86,120,1231,"TopologyChange,UpdateType,CommandSubscription,QuerySubscription,NodeInfo$Builder,NodeInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo,EventProcessorInfo$SegmentStatus$Builder",""
"io.grpc.stub",2,3,4,11,120,1231,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
