"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"jakarta.annotation",106,695,899,4946,120,1231,"Nonnull,Nullable",""
"org.slf4j",38,74,133,469,120,1231,"Logger,LoggerFactory",""
"org.springframework",8,63,205,344,120,1231,"ConfigurationProperties,Binder,BindResult,Bindable,Environment,NestedConfigurationProperty,ConstructorBinding,DefaultValue,ConnectionDetails",""
"com.fasterxml",6,14,38,126,120,1231,"JsonNode,JsonNodeType,ObjectNode,ObjectMapper,JsonProcessingException,JavaType,JsonCreator,JsonProperty,JsonIgnore",""
"io.axoniq",6,45,153,849,120,1231,"AxonServerConnection,ControlChannel,ErrorMessage,AxonServerConnectionFactory$Builder,NodeInfo$Builder,ServerAddress,AxonServerConnectionFactory,NodeInfo,ErrorMessage$Builder",""
"jakarta.persistence",6,18,42,179,120,1231,"IdClass,Basic,Column,Lob,Entity,Id,Query,EntityManager,LockModeType",""
"reactor.core",6,9,16,51,120,1231,"MonoSink,Mono,Flux,FluxSink,Schedulers,Scheduler",""
"com.google",5,9,12,36,120,1231,"JsonElement,JsonObject,JsonArray,JsonParser,ByteString,MessageLite",""
"io.grpc",3,10,29,65,120,1231,"ManagedChannelBuilder,ClientInterceptor,SslContextBuilder,GrpcSslContexts,StreamObserver,StatusRuntimeException,Metadata,Metadata$Key,Status",""
"io.micrometer",3,13,39,145,120,1231,"Counter,Timer,Clock,MeterRegistry,Tags,Timer$Builder,Tag,Gauge$Builder,Gauge",""
"org.axonframework",3,10,22,64,120,1231,"EventProcessorSettings,EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings$ProcessorMode,SpringTransactionManager,ClasspathAvroSchemaLoader,AvroSchemaPackages,SpecificRecordBaseClasspathAvroSchemaLoader,EventProcessorDefinition",""
"org.hamcrest",3,22,44,196,120,1231,"StringDescription,Matcher,CoreMatchers,Description,BaseMatcher,TypeSafeMatcher",""
"org.reactivestreams",3,6,8,27,120,1231,"Publisher,Subscriber,Subscription",""
"org.apache",2,12,42,144,120,1231,"SchemaStore,GenericRecord,BinaryMessageEncoder,Schema,SchemaCompatibility$Incompatibility,Pair,SpecificData,AvroRuntimeException,BinaryMessageDecoder",""
"org.junit",2,2,9,30,120,1231,"ExtensionContext$Namespace,BeforeEachCallback,ParameterResolver,ParameterContext,AfterEachCallback,ParameterResolutionException,ExtensionContext,ExtensionContext$Store,Assertions",""
"tools.jackson",2,9,24,84,120,1231,"ObjectMapper,JsonNode,JacksonException,ObjectNode,JsonNodeType,JsonMapper,JsonMapper$Builder,JavaType,CBORMapper",""
"io.opentelemetry",1,5,21,70,120,1231,"GlobalOpenTelemetry,ContextPropagators,TextMapSetter,Tracer,TextMapPropagator,TextMapGetter,SpanBuilder,SpanKind,Span",""
"jakarta.validation",1,2,5,16,120,1231,"ConstraintViolation,Validation,Validator,ValidatorFactory",""
"javax.cache",1,2,12,48,120,1231,"CacheEntryListenerException,CacheEntryRemovedListener,Factory,CacheEntryCreatedListener,CacheEntryListenerConfiguration,CacheEntryExpiredListener,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryEventFilter",""
"org.awaitility",1,1,2,3,120,1231,"ConditionFactory,Awaitility",""
"org.ehcache",1,3,10,45,120,1231,"EventFiring,EventOrdering,CacheRuntimeConfiguration,CacheEventListener,EventType,Ehcache,CacheEvent",""
"org.testcontainers",1,1,6,19,120,1231,"GenericContainer,HttpWaitStrategy,ContainerLaunchException,DockerImageName,MountableFile,Wait",""
