"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_overall.cypher"
"jakarta.annotation",106,695,899,4946,120,1231,"Nonnull,Nullable",""
"org.slf4j",38,74,133,469,120,1231,"LoggerFactory,Logger",""
"org.springframework",8,63,205,344,120,1231,"ConfigurationProperties,NestedConfigurationProperty,DefaultValue,ConstructorBinding,Binder,Environment,BindResult,Bindable,ConnectionDetails",""
"com.fasterxml",6,14,38,126,120,1231,"JsonProperty,JsonCreator,JsonIgnore,JsonGetter,JsonTypeInfo,JsonTypeInfo$Id,ObjectMapper,JsonNode,ObjectNode",""
"io.axoniq",6,45,153,849,120,1231,"AxonServerConnection,ControlChannel,QuerySubscription,TopologyChange,UpdateType,CommandSubscription,ErrorMessage,MetaDataValue$DataCase,ErrorMessage$Builder",""
"jakarta.persistence",6,18,42,179,120,1231,"LockModeType,TypedQuery,EntityManager,Query,Column,Lob,IdClass,Id,Basic",""
"reactor.core",6,9,16,51,120,1231,"MonoSink,Flux,Mono,FluxSink,Schedulers,Scheduler",""
"com.google",5,9,12,36,120,1231,"JsonElement,JsonParser,JsonArray,JsonObject,MessageLite,ByteString",""
"io.grpc",3,10,29,65,120,1231,"StreamObserver,ManagedChannelBuilder,GrpcSslContexts,SslContextBuilder,ClientInterceptor,MethodDescriptor,CallOptions,Channel,ClientCall",""
"io.micrometer",3,13,39,145,120,1231,"Tag,Tags,Clock,Counter,MeterRegistry,Timer,Timer$Builder,SimpleMeterRegistry,Gauge",""
"org.axonframework",3,10,22,64,120,1231,"EventProcessorSettings,EventProcessorSettings$ProcessorMode,EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,SpringEventSourcedEntityLookup,MessageHandlerLookup,EventProcessorSettings$MapWrapper,EventProcessorDefinition,ProcessorModuleFactory",""
"org.hamcrest",3,22,44,196,120,1231,"StringDescription,Matcher,CoreMatchers,Description,TypeSafeMatcher,BaseMatcher",""
"org.reactivestreams",3,6,8,27,120,1231,"Publisher,Subscriber,Subscription",""
"javax.annotation",2,2,2,2,120,1231,"Nonnull",""
"org.apache",2,12,42,144,120,1231,"SchemaStore,SchemaStore$Cache,Schema,GenericRecord,InvalidNumberEncodingException,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,AvroRuntimeException,SchemaCompatibility$SchemaPairCompatibility",""
"org.jetbrains",2,3,3,4,120,1231,"NotNull",""
"org.junit",2,2,9,30,120,1231,"ParameterResolutionException,BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Store,ExtensionContext,ExtensionContext$Namespace,ParameterContext,Assertions",""
"tools.jackson",2,9,24,84,120,1231,"CBORMapper,ObjectMapper,CBORMapper$Builder,JsonMapper$Builder,JsonMapper,JsonNodeType,ObjectNode,JsonNode,JacksonException",""
"IdTypeParameterResolver",1,1,1,1,120,1231,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,120,1231,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,120,1231,"WrappedEventCriteriaBuilderMethod",""
"io.opentelemetry",1,5,21,70,120,1231,"TextMapGetter,TextMapPropagator,GlobalOpenTelemetry,Tracer,ContextPropagators,TextMapSetter,SpanKind,Context,Span",""
"jakarta.validation",1,2,5,16,120,1231,"Validator,ConstraintViolation,ValidatorFactory,Validation",""
"javax.cache",1,2,12,48,120,1231,"CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryListenerConfiguration,CacheEntryRemovedListener,Factory,CacheEntryExpiredListener",""
"org.awaitility",1,1,2,3,120,1231,"ConditionFactory,Awaitility",""
"org.ehcache",1,3,10,45,120,1231,"EventType,CacheRuntimeConfiguration,Ehcache,EventFiring,EventOrdering,CacheEventListener,CacheEvent",""
"org.testcontainers",1,1,6,19,120,1231,"GenericContainer,HttpWaitStrategy,ContainerLaunchException,DockerImageName,MountableFile,Wait",""
"reactor.util",1,2,2,4,120,1231,"Queues",""
