"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_overall.cypher"
"io.axoniq.axonserver.grpc.control",2,6,13,86,120,1231,"QuerySubscription,TopologyChange,UpdateType,CommandSubscription,NodeInfo$Builder,NodeInfo,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus",""
"io.grpc.stub",2,3,4,11,120,1231,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"io.micrometer.core.instrument.simple",2,2,2,4,120,1231,"SimpleMeterRegistry",""
"javax.annotation",2,2,2,2,120,1231,"Nonnull",""
"org.apache.avro",2,5,17,56,120,1231,"Schema,InvalidAvroMagicException,SchemaNormalization,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,AvroRuntimeException,SchemaCompatibility",""
"org.apache.avro.message",2,9,12,38,120,1231,"SchemaStore,SchemaStore$Cache,BadHeaderException,BinaryMessageEncoder,BinaryMessageDecoder",""
"org.axonframework.extension.spring.config",2,5,13,42,120,1231,"EventProcessorSettings,EventProcessorSettings$ProcessorMode,EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,SpringEventSourcedEntityLookup,MessageHandlerLookup,EventProcessorSettings$MapWrapper,EventProcessorDefinition,ProcessorModuleFactory",""
"org.jetbrains.annotations",2,3,3,4,120,1231,"NotNull",""
"org.springframework.core.env",2,2,2,2,120,1231,"Environment",""
"org.springframework.core.type",2,3,3,5,120,1231,"AnnotatedTypeMetadata,AnnotationMetadata",""
"tools.jackson.databind",2,8,11,47,120,1231,"ObjectMapper,JavaType,JsonNode",""
"tools.jackson.databind.json",2,2,4,10,120,1231,"JsonMapper$Builder,JsonMapper",""
"IdTypeParameterResolver",1,1,1,1,120,1231,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,120,1231,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,120,1231,"WrappedEventCriteriaBuilderMethod",""
"com.fasterxml.jackson.core",1,1,1,1,120,1231,"JsonProcessingException",""
"com.google.gson",1,1,4,7,120,1231,"JsonElement,JsonParser,JsonArray,JsonObject",""
"io.axoniq.axonserver.connector.admin",1,1,1,3,120,1231,"AdminChannel",""
"io.axoniq.axonserver.connector.command",1,1,1,3,120,1231,"CommandChannel",""
"io.axoniq.axonserver.connector.event",1,5,8,38,120,1231,"AppendEventsTransaction,AggregateEventStream,EventChannel,DcbEventChannel$AppendEventsTransaction,EventStream,DcbEventChannel",""
"io.axoniq.axonserver.connector.impl",1,1,1,3,120,1231,"ServerAddress",""
"io.axoniq.axonserver.connector.query",1,3,6,19,120,1231,"QueryHandler$UpdateHandler,QueryHandler,QueryDefinition,SubscriptionQueryResult,QueryChannel",""
"io.axoniq.axonserver.grpc.command",1,3,8,63,120,1231,"CommandResponse,Command,Command$Builder,CommandResponse$Builder",""
"io.axoniq.axonserver.grpc.event",1,3,5,31,120,1231,"Confirmation,Event,Event$Builder,EventWithToken",""
"io.axoniq.axonserver.grpc.event.dcb",1,6,28,104,120,1231,"Tag$Builder,ConsistencyCondition,Criterion$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest,Tag,TagsAndNamesCriterion,SourceEventsRequest$Builder,Criterion",""
"io.axoniq.axonserver.grpc.query",1,5,14,98,120,1231,"QueryResponse,QueryResponse$Builder,SubscriptionQuery,QueryRequest,QueryUpdate,QueryRequest$Builder,QueryUpdate$Builder",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,120,1231,"GrpcSslContexts",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,2,120,1231,"SslContextBuilder",""
"io.opentelemetry.api",1,1,1,2,120,1231,"GlobalOpenTelemetry",""
"io.opentelemetry.api.trace",1,3,9,46,120,1231,"Tracer,SpanKind,Span,SpanBuilder,SpanContext,StatusCode",""
"io.opentelemetry.context",1,2,2,7,120,1231,"Context,Scope",""
"io.opentelemetry.context.propagation",1,4,9,15,120,1231,"TextMapGetter,TextMapPropagator,ContextPropagators,TextMapSetter",""
"jakarta.validation",1,2,5,16,120,1231,"Validator,ConstraintViolation,ValidatorFactory,Validation",""
"javax.cache",1,1,1,13,120,1231,"Cache",""
"javax.cache.configuration",1,2,3,9,120,1231,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,26,120,1231,"CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryRemovedListener,CacheEntryExpiredListener,CacheEntryUpdatedListener",""
"org.apache.avro.generic",1,6,7,29,120,1231,"GenericData,GenericRecord,GenericDatumReader",""
"org.apache.avro.io",1,1,1,3,120,1231,"DecoderFactory",""
"org.apache.avro.specific",1,2,4,14,120,1231,"SpecificRecordBase,SpecificData",""
"org.apache.commons.lang3.tuple",1,1,1,4,120,1231,"Pair",""
"org.awaitility",1,1,1,1,120,1231,"Awaitility",""
"org.awaitility.core",1,1,1,2,120,1231,"ConditionFactory",""
"org.axonframework.extension.spring",1,1,1,1,120,1231,"SpringUtils",""
"org.axonframework.extension.spring.authorization",1,1,1,2,120,1231,"SecuredMessageHandlerDefinition",""
"org.axonframework.extension.spring.config.annotation",1,1,2,7,120,1231,"HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean",""
"org.axonframework.extension.spring.conversion.avro",1,1,3,8,120,1231,"ClasspathAvroSchemaLoader,SpecificRecordBaseClasspathAvroSchemaLoader,AvroSchemaPackages",""
"org.axonframework.extension.spring.messaging.unitofwork",1,2,2,4,120,1231,"SpringTransactionManager",""
"org.ehcache.config",1,1,1,2,120,1231,"CacheRuntimeConfiguration",""
"org.ehcache.core",1,1,1,13,120,1231,"Ehcache",""
"org.ehcache.event",1,3,8,30,120,1231,"EventType,CacheEventListener,CacheEvent,EventFiring,EventOrdering",""
"org.junit.jupiter.api",1,1,1,2,120,1231,"Assertions",""
"org.junit.jupiter.api.extension",1,1,8,28,120,1231,"ParameterResolutionException,BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Store,ExtensionContext,ExtensionContext$Namespace,ParameterContext",""
"org.springframework.beans",1,2,2,2,120,1231,"BeansException",""
"org.springframework.beans.factory",1,2,4,19,120,1231,"BeanClassLoaderAware,BeanFactoryUtils,NoSuchBeanDefinitionException,BeanFactory",""
"org.springframework.beans.factory.config",1,1,1,3,120,1231,"ConfigurableListableBeanFactory",""
"org.springframework.beans.factory.support",1,1,1,1,120,1231,"BeanDefinitionRegistry",""
"org.springframework.boot.autoconfigure.service.connection",1,3,3,3,120,1231,"ConnectionDetails",""
"org.springframework.boot.context.properties.bind",1,2,5,11,120,1231,"DefaultValue,ConstructorBinding,Binder,BindResult,Bindable",""
"org.springframework.boot.docker.compose.core",1,1,2,5,120,1231,"RunningService,ConnectionPorts",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,120,1231,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,120,1231,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"org.springframework.context",1,3,5,9,120,1231,"ApplicationContext,ApplicationContextAware",""
"org.springframework.core.annotation",1,3,3,3,120,1231,"Order",""
"org.springframework.core.io",1,1,1,1,120,1231,"ResourceLoader",""
"org.springframework.lang",1,1,1,1,120,1231,"Nullable",""
"org.springframework.transaction",1,3,3,5,120,1231,"PlatformTransactionManager",""
"org.springframework.util",1,1,1,2,120,1231,"MultiValueMap",""
"org.testcontainers.containers",1,1,2,7,120,1231,"GenericContainer,ContainerLaunchException",""
"org.testcontainers.containers.wait.strategy",1,1,2,3,120,1231,"HttpWaitStrategy,Wait",""
"org.testcontainers.utility",1,1,2,9,120,1231,"DockerImageName,MountableFile",""
"reactor.core.scheduler",1,1,2,2,120,1231,"Schedulers,Scheduler",""
"reactor.util.concurrent",1,2,2,4,120,1231,"Queues",""
"tools.jackson.core",1,3,3,6,120,1231,"JacksonException",""
"tools.jackson.databind.node",1,2,3,12,120,1231,"ObjectNode,JsonNodeType",""
"tools.jackson.dataformat.cbor",1,2,3,9,120,1231,"CBORMapper,CBORMapper$Builder",""
