"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_spread.cypher"
"org.slf4j",10,37,1,13,3.5,3.7,3.529242915351047,20,100,32.46753246753247,43.440874914559124,27.686369705310735,74,1,29,5.5,7.3999999999999995,8.527081042837057,1.2658227848101267,25,5.752217766435776,8.982068040082993,7.689879582845392,"axon-modelling-5.1.2,axon-server-connector-5.1.2,axon-update-5.1.2,axon-common-5.1.2",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,3.508771929824561,20,7.878787878787879,9.81658692185008,7.16331017110085,15,1,6,4,3.75,2.0615528128088303,0.9478672985781991,3.8461538461538463,2.6813186813186816,2.5391646268423522,1.2374529260256406,"axon-common-5.1.2,axon-eventsourcing-5.1.2,axon-messaging-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2",""
"com.fasterxml.jackson.databind",2,2,1,1,1,1,0,6.666666666666667,20,13.333333333333334,13.333333333333332,9.428090415820634,6,1,5,3,3,2.8284271247461903,0.5714285714285714,12.195121951219512,6.383275261324042,6.383275261324042,8.219192411283354,"axon-common-5.1.2,axon-conversion-5.1.2",""
"com.fasterxml.jackson.databind.node",2,2,1,1,1,1,0,6.666666666666667,20,13.333333333333334,13.333333333333332,9.428090415820634,3,1,2,1.5,1.5,0.7071067811865476,0.5714285714285714,4.878048780487805,2.724738675958188,2.7247386759581884,3.0452403538208106,"axon-common-5.1.2,axon-conversion-5.1.2",""
"io.axoniq.axonserver.connector",2,7,1,6,3.5,3.5,3.5355339059327378,20,60,40,40,28.284271247461902,17,1,16,8.5,8.5,10.606601717798213,3.8461538461538463,20.253164556962027,12.049659201557937,12.049659201557937,11.601508532612781,"axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.axonserver.connector.control",2,4,1,3,2,2,1.4142135623730951,20,30,25,25,7.0710678118654755,5,1,4,2.5,2.5,2.1213203435596424,3.8461538461538463,5.063291139240507,4.454722492697177,4.454722492697177,0.8606460335766161,"axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.messaging.commandhandling.distributed",2,3,1,2,1.5,1.5,0.7071067811865476,20,20,20,20,0,4,1,3,2,2,1.4142135623730951,3.79746835443038,3.8461538461538463,3.821811100292113,3.821811100292113,0.03442584134306453,"axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2",""
"io.axoniq.framework.messaging.queryhandling.distributed",2,3,1,2,1.5,1.5,0.7071067811865476,20,20,20,20,0,5,1,4,2.5,2.5,2.1213203435596424,3.8461538461538463,5.063291139240507,4.454722492697177,4.454722492697177,0.8606460335766161,"axon-server-connector-5.1.2,axoniq-spring-boot-autoconfigure-5.1.2",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0,"axon-eventsourcing-5.1.2",""
"ScannedEntityCreator",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0,"axon-eventsourcing-5.1.2",""
