"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: domains/internal-dependencies/queries/visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction","transaction",4,5,0.8,""
"axon-common-5.0.3","org.axonframework.common.configuration","configuration",36,46,0.782608695652174,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation","annotation",14,18,0.7777777777777778,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry","retry",10,13,0.7692307692307693,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",34,45,0.7555555555555555,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.timeout","timeout",6,8,0.75,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token","token",6,8,0.75,""
"axon-common-5.0.3","org.axonframework.common.annotation","annotation",3,4,0.75,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.configuration","configuration",3,4,0.75,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.configuration","configuration",3,4,0.75,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer.springboot","springboot",3,4,0.75,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service.connection","connection",3,4,0.75,""
"axon-test-5.0.3","org.axonframework.test.extension","extension",3,4,0.75,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation","annotation",8,11,0.7272727272727273,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","annotation",8,11,0.7272727272727273,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.distributed","distributed",8,11,0.7272727272727273,""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","micrometer",8,11,0.7272727272727273,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","query",8,11,0.7272727272727273,""
"axon-test-5.0.3","org.axonframework.test.fixture","fixture",23,32,0.71875,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing","eventsourcing",5,7,0.7142857142857143,""
"axon-conversion-5.0.3","org.axonframework.conversion","conversion",7,10,0.7,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay.annotation","annotation",7,10,0.7,""
"axon-modelling-5.0.3","org.axonframework.modelling.configuration","configuration",9,13,0.6923076923076923,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection","reflection",4,6,0.6666666666666666,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.interception","interception",2,3,0.6666666666666666,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","event",9,14,0.6428571428571429,""
"axon-messaging-5.0.3","org.axonframework.messaging.core","core",50,80,0.625,""
"axon-common-5.0.3","org.axonframework.common.infra","infra",5,8,0.625,""
"axon-common-5.0.3","org.axonframework.common.caching","caching",8,13,0.6153846153846154,""
"axon-test-5.0.3","org.axonframework.test","test",3,5,0.6,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventstreaming","eventstreaming",9,16,0.5625,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",21,41,0.5121951219512195,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration","configuration",7,14,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception","interception",3,6,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",1,2,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.annotation","annotation",1,2,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",1,2,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",1,2,0.5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","interception",10,21,0.47619047619047616,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",6,13,0.46153846153846156,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring.configuration","configuration",3,9,0.3333333333333333,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",1,3,0.3333333333333333,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",6,24,0.25,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.interception","interception",2,8,0.25,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,5,0.2,""
