"a.fileName","outgoingDependencies","outgoingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Outgoing_Java_Artifact_Dependencies.cypher"
"/axon-test-5.0.3.jar",3,292,""
"/axon-messaging-5.0.3.jar",2,1082,""
"/axon-spring-boot-autoconfigure-5.0.3.jar",7,234,""
"/axon-tracing-opentelemetry-5.0.3.jar",2,24,""
"/axon-eventsourcing-5.0.3.jar",4,592,""
"/axon-server-connector-5.0.3.jar",4,506,""
"/axon-update-5.0.3.jar",1,52,""
"/axon-common-5.0.3.jar",0,0,""
"/axon-modelling-5.0.3.jar",3,488,""
"/axon-conversion-5.0.3.jar",1,30,""
"/axon-metrics-micrometer-5.0.3.jar",3,84,""
