"filePath","author","commitCount","commitHashes","lastCommitDate","lastCreationDate","lastModificationDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","Source Cypher File: GitLog/List_git_files_with_commit_statistics_by_author.cypher"
"AxonFramework-5.0.1/.editorconfig","Steven van Beelen",20,"0aa12fb52f302cb2de367244488d588bf029ccda,ed4ef4798fb13591b00a27a457ea909965685a6d,9df62332f0f803d4eab8048eeb565d3c058c806b,cd36b0ee3df842034b1a0af89712248e8088508f,113054bda3adda44476ac412b7602a7e02891ad7,d3db0040babf3e4efe690bc809e23944e1b07d6e,da9b783ce78ecc4248d5d9959704c3a7e54f916e,16b6216b13f5ea8b36d1a83d73c0b2937b4e2371,523af9947b9a163be8712f16b8e4a09db2d1dd03,8e02e0f72febad8be5c6b9b3a4d520b2772f2876,bb296a1a59fda71b2ba652557183b348dea6a45f,f4746a871e454c40b72346d541bbcfc9ffc7680d,84429c4a349528b894414289d12edc41879fcdfe,400c9cf44f70325982fb1c6ae706d6770a1f5ce6,50a0255f0e5d684ef9b2f049c4223c69ad05eb19,0d4464fc942003f70fea27998e89b9bb1661f6ea,42e6bb2abf71de2ae6983ad74bb6e9cbbbddff88,3435d059f69531c41961efe31b1c7677eae74cf4,d6f25f0c8c238cc5fc55fee1d0a15665de45f9fc,a6d283c8558acabb8e516e7fdd85a646761338ce","2025-12-03","2025-01-09","2025-01-09",34,361,361,"f4746a871e454c40b72346d541bbcfc9ffc7680d",""
"AxonFramework-5.0.1/.editorconfig","Allard Buijze",2,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713,5cf026466da09d2c38cb7617e38c09ed388f6ec2","2025-01-15","2025-01-09","2025-01-09",356,361,361,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713",""
"AxonFramework-5.0.1/.gitattributes","Allard Buijze",5,"6f9a453a0114505096687c5cab3d43eb48f45c74,df54dcf98807751a0368ee2e9906879b7f495330,81d544425252b6a6f4020da93f7909803023ab35,7de1e90034f018980e8dcf7bc10ddfb2ba917dbf,c789dee3e69f89858387ca30c63c14d2a71bb5d5","2025-11-06","2015-08-28","2025-12-03",61,3783,34,"df54dcf98807751a0368ee2e9906879b7f495330",""
"AxonFramework-5.0.1/.gitattributes","Rene de Waele",5,"bf03c7bee697b35e490595713bed4e8f9a00f5b8,3ce1ec62a72d911ee9208e81074994a46bddbeab,b879ea59bac67f22232116d594fd4d790226778b,4814228a9fe5fb185a5ef0d96c62d84d627626d2,b63347b7d467efadaf4796d387963eba173fa372","2016-06-09","2015-08-28","2025-12-03",3498,3783,34,"bf03c7bee697b35e490595713bed4e8f9a00f5b8",""
"AxonFramework-5.0.1/.gitattributes","Simon Zambrovski",5,"029c6c9027896429ebf8b4ad60a8538d1ecca034,43098d9a64b8c9b983e77b86cc6620205af44b93,0410f493e3e800979da378f09184cea9244afa48,53bd786a641f4b8d3078a35e78dda74ab56d34a7,8d6f2a1d98c65d3cdf07d8517041074c4310e962","2025-11-06","2015-08-28","2025-12-03",61,3783,34,"8d6f2a1d98c65d3cdf07d8517041074c4310e962",""
"AxonFramework-5.0.1/.gitattributes","sara pellegrini",3,"8eff22810fff1a695194fd40f14792186a99635d,e38027184fa5221e622dcafa3a50704f38e5a153,9139ffc65f4298abc08b966528da68cd214cc7a0","2018-09-10","2015-08-28","2025-12-03",2675,3783,34,"e38027184fa5221e622dcafa3a50704f38e5a153",""
"AxonFramework-5.0.1/.gitattributes","Steven van Beelen",3,"3435d059f69531c41961efe31b1c7677eae74cf4,d6f25f0c8c238cc5fc55fee1d0a15665de45f9fc,a6d283c8558acabb8e516e7fdd85a646761338ce","2025-12-03","2015-08-28","2025-12-03",34,3783,34,"d6f25f0c8c238cc5fc55fee1d0a15665de45f9fc",""
"AxonFramework-5.0.1/.gitattributes","Jan Galinski",2,"7d2b7604190889be38e0a709600a333defcff95a,d7929be4a8b9905a880c6cd65e50b29b7f07bef3","2025-11-07","2015-08-28","2025-12-03",60,3783,34,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3",""
"AxonFramework-5.0.1/.gitattributes","Joris van der Kallen",1,"6461d8599abc5333601d6d3f266cc75ef8fb4173","2016-06-08","2015-08-28","2025-12-03",3499,3783,34,"6461d8599abc5333601d6d3f266cc75ef8fb4173",""
"AxonFramework-5.0.1/.github/CODEOWNERS","Steven van Beelen",10,"647cf55e645b5b96043ccb0570ee0181e5a2d315,282d802c4342e1876fcd74f927ff36a234e6d216,8e02e0f72febad8be5c6b9b3a4d520b2772f2876,85aeffd6242328818fa58161a73714e8e28bf9e2,fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451,6b319ac0a33a0d164f13f0eb8e80fae3c0efc17b,c265e62d8fa149c69c149e892dba829b7b872784,828e0b58da69383dc537cfe2a0a61bd02048e157,154c275cd1c2c44e502f7a1ae0c80506618d1b01,290dab1e14fba68fa8fe00c5d469964be8fef748","2025-11-28","2025-05-26","2025-05-26",39,224,224,"fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451",""
